"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/22","´_¿³","CO",0.6,0.48,0.49,0.51,0.45,0.56,0.68,0.91,1.07,0.86,0.68,0.67,0.58,0.48,0.57,0.59,0.63,0.88,1.11,1.01,1.11,1.48,1.33,0.98
"2018/01/22","´_¿³","NOx",22,17,16,16,12,14,23,24,34,33,30,26,27,25,21,23,27,34,43,38,38,45,44,34
"2018/01/22","´_¿³","O3",20,20,16,15,17,18,20,19,13,16,22,29,38,41,50,51,41,30,21,23,23,21,20,21
"2018/01/22","´_¿³","PM10",89,88,86,91,106,104,84,65,65,71,63,51,54,65,68,70,76,87,94,98,95,97,106,112
"2018/01/22","´_¿³","SO2",2.6,1.6,1.6,1.5,0.9,1,1.2,1.2,2.1,2.2,2,2.1,3.4,3.9,2.4,2.4,2.9,2.6,3.1,2.5,2.4,2.9,3.2,3
"2018/01/23","´_¿³","CO",0.94,0.86,0.84,0.79,0.85,0.88,0.9,1.19,1.63,1.56,1.25,0.88,0.62,0.57,0.52,0.46,0.54,0.65,0.83,0.8,0.86,0.85,0.89,0.76
"2018/01/23","´_¿³","NOx",32,32,27,27,26,28,30,42,54,54,44,32,21,22,21,21,27,30,34,34,38,39,43,36
"2018/01/23","´_¿³","O3",15,12,15,11,12,9.3,7.3,5.8,9.4,19,37,50,61,70,75,67,54,47,36,30,21,16,12,11
"2018/01/23","´_¿³","PM10",106,96,95,93,88,84,78,83,100,115,119,111,82,68,72,72,76,77,86,100,114,119,106,106
"2018/01/23","´_¿³","SO2",3.3,3.6,3.7,4.1,3.2,3,3.3,4,4.4,4.4,5.1,6,4.8,5.6,5.2,3.4,3.7,3.1,3.5,3,2.6,2.3,2.5,2.4
"2018/01/24","´_¿³","CO",0.7,0.58,0.53,0.55,0.6,0.59,0.97,1.28,2.08,1.88,1.18,0.87,1.41,0.58,NA,0.68,0.7,NA,0.97,0.95,0.91,0.89,0.96,0.76
"2018/01/24","´_¿³","NOx",33,27,26,28,29,26,39,53,84,78,51,39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/24","´_¿³","O3",9.7,10,9.6,6.8,6.3,9.4,6.8,3.3,5,18,28,41,NA,NA,NA,NA,NA,NA,NA,NA,28,23,18,14
"2018/01/24","´_¿³","PM10",107,100,100,101,95,89,88,95,110,119,116,115,115,105,NA,NA,NA,120,119,126,130,126,126,120
"2018/01/24","´_¿³","SO2",2.7,2.7,3,2.9,3.4,3.3,3.4,5.3,8.8,7.8,4.8,4.3,4.2,5.4,NA,NA,NA,NA,3,3,3.1,3,3.4,3.4
"2018/01/25","´_¿³","CO",0.68,0.61,0.58,0.58,0.58,0.65,0.77,1.32,1.46,1.29,1.24,1.03,0.89,0.77,0.79,0.57,NA,NA,1.34,1.19,0.97,1.34,1,0.83
"2018/01/25","´_¿³","NOx",NA,28,24,22,22,25,30,47,49,52,51,45,43,32,31,19,20,35,51,NA,42,54,43,37
"2018/01/25","´_¿³","O3",11,10,11,13,13,11,6.6,4.6,7.5,13,23,32,37,52,58,64,54,40,21,19,14,5.9,3,4.5
"2018/01/25","´_¿³","PM10",110,101,95,86,78,85,87,81,85,91,106,113,105,96,84,79,88,98,102,99,96,94,84,77
"2018/01/25","´_¿³","SO2",3.6,4,3.9,3.7,3.3,3.2,3.5,4.4,4.5,4.6,4.8,4.6,5.1,4.6,4.2,3.4,2.7,4.4,4.1,NA,3.7,4.8,4.2,3.6
"2018/01/26","´_¿³","CO",0.74,0.51,0.43,0.41,0.42,0.43,0.57,1.01,1.19,0.87,0.7,0.81,0.6,0.48,0.46,0.47,0.54,0.68,0.67,0.62,0.65,0.72,0.67,0.57
"2018/01/26","´_¿³","NOx",31,25,22,21,22,21,25,42,46,36,34,37,28,23,20,21,24,32,31,31,31,38,33,31
"2018/01/26","´_¿³","O3",6.9,8.3,8.9,8.8,6.7,9.3,8,6.7,8.2,14,21,29,40,50,55,46,38,31,23,17,14,7.6,7,6.5
"2018/01/26","´_¿³","PM10",78,80,75,63,65,73,79,81,75,73,67,62,69,77,77,110,147,153,164,163,132,100,75,64
"2018/01/26","´_¿³","SO2",2.5,2.6,2.5,2.3,2.5,2.6,1.8,2,2.5,2.4,2.1,2.2,2.4,2.2,2.2,2.2,1.9,2.7,2.5,2.4,2.7,2.9,2.6,2.5
"2018/01/27","´_¿³","CO",0.48,0.39,0.38,0.42,0.38,0.45,0.65,0.91,1.15,1.29,1.07,0.74,0.53,0.39,0.39,0.42,0.48,0.61,0.61,0.66,0.82,0.92,0.94,0.83
"2018/01/27","´_¿³","NOx",27,23,24,24,22,24,30,38,49,53,40,46,30,20,21,20,23,22,31,32,39,43,44,38
"2018/01/27","´_¿³","O3",8,8.5,8,6.9,7.9,7.8,5,4.9,6.3,10,26,28,41,49,47,45,42,39,29,24,15,8.6,5.7,6.4
"2018/01/27","´_¿³","PM10",61,57,51,49,54,54,57,62,67,82,86,83,80,70,63,55,55,59,53,65,83,79,77,87
"2018/01/27","´_¿³","SO2",3,3.2,3.2,3.5,3.4,3.2,3.2,3.5,4,4.6,4.2,10,8.3,6.3,4.8,4.9,5.2,3.1,4.2,5,3.7,3.6,3.7,3.7
"2018/01/28","´_¿³","CO",0.66,0.5,0.46,0.37,0.44,0.61,0.59,0.72,0.72,0.88,0.97,0.92,0.86,0.64,0.61,0.57,0.67,0.7,0.74,0.72,0.71,0.57,0.62,0.47
"2018/01/28","´_¿³","NOx",30,28,22,15,23,33,26,28,26,32,39,30,27,21,22,21,27,28,32,34,34,31,30,26
"2018/01/28","´_¿³","O3",8.7,6.8,9.1,15,13,3.7,5.4,7.6,15,17,23,44,53,65,66,52,37,32,18,7.6,6.6,5.1,4.3,5
"2018/01/28","´_¿³","PM10",89,82,74,71,76,79,78,87,90,86,91,87,77,68,62,66,76,83,79,73,64,54,46,43
"2018/01/28","´_¿³","SO2",3.2,3.3,2.3,1.8,3.7,5.1,3.6,2.3,2.5,3.3,3.8,3.9,3.1,3.6,3.1,2.8,3.1,2.7,3.2,3.5,2.8,2.2,2.1,1.9
"2018/01/29","´_¿³","CO",0.42,0.36,0.35,0.29,0.29,0.31,0.42,0.53,1,0.83,0.68,0.68,0.59,0.41,0.43,0.44,0.52,0.84,1.62,1.06,0.9,1.14,0.97,0.92
"2018/01/29","´_¿³","NOx",25,20,19,16,15,16,18,24,47,48,31,38,42,32,31,30,29,39,71,52,43,50,41,40
"2018/01/29","´_¿³","O3",5.5,5,6.5,9.7,11,15,14,10,6,4.8,8.2,11,15,19,27,25,23,15,1.8,1.8,2.7,1.7,1.6,1.4
"2018/01/29","´_¿³","PM10",39,34,36,36,34,38,36,34,45,58,58,51,58,58,56,57,46,49,63,67,60,56,58,57
"2018/01/29","´_¿³","SO2",1.8,1.6,1.9,1.6,1.5,1.6,1.6,1.9,2.5,3.4,2.7,3,4.1,6.5,6.2,5.6,3.9,4.1,4,3.6,3.2,3.5,3.1,3.1
"2018/01/30","´_¿³","CO",0.75,0.6,0.62,0.62,0.61,0.64,0.88,0.99,1.35,1.27,1.04,0.66,0.79,0.69,0.63,0.64,0.8,1.22,1.51,1.26,1.07,1.08,0.86,0.8
"2018/01/30","´_¿³","NOx",31,23,24,25,25,23,32,36,61,63,52,23,22,26,21,24,33,56,60,52,43,44,38,38
"2018/01/30","´_¿³","O3",2.1,3.2,2.9,5.3,2.1,3.3,1.7,3,5,6.6,16,32,37,37,45,44,33,16,9,8.4,10,6.1,3.7,2.2
"2018/01/30","´_¿³","PM10",52,49,37,27,29,28,32,45,53,54,51,43,39,46,54,53,54,65,74,73,69,70,68,67
"2018/01/30","´_¿³","SO2",2.6,1.3,1.2,1.1,1.2,1.2,1.4,1.5,2.9,4.2,5.1,3.8,2.5,3.2,2.7,2.2,2.9,2.9,2.9,2.6,2.7,2.9,2.6,2.8
"2018/01/31","´_¿³","CO",0.78,0.67,0.67,0.64,0.59,0.6,0.82,1.67,1.78,1.66,1.12,1.09,0.82,0.93,0.74,0.57,0.73,0.89,0.92,0.77,0.64,0.62,0.62,0.54
"2018/01/31","´_¿³","NOx",41,36,37,39,39,32,43,83,NA,70,55,50,NA,37,32,25,33,37,40,35,26,23,21,18
"2018/01/31","´_¿³","O3",1.3,1.2,1,1,1.2,1.6,1.4,2.2,4.6,14,17,31,47,57,58,48,38,30,20,16,16,15,19,21
"2018/01/31","´_¿³","PM10",67,62,62,62,57,53,55,68,74,75,77,80,75,73,81,71,65,70,77,77,71,72,64,48
"2018/01/31","´_¿³","SO2",2.4,3.3,3.6,3.8,5,3.3,3.3,5.4,7.3,7.3,5.6,5.2,5.2,4.4,4.5,4,3.6,3.4,3.8,3.7,2.4,1.8,1.8,2.2
"2018/02/01","´_¿³","CO",0.51,0.46,0.47,0.49,0.48,0.52,0.59,0.85,1.08,1.11,1.07,1.05,1,0.94,0.83,0.88,0.9,1.04,1.25,1.13,1.14,1.33,0.97,0.94
"2018/02/01","´_¿³","NOx",16,13,13,14,19,16,18,26,36,48,44,47,38,32,31,37,34,35,44,44,44,46,40,41
"2018/02/01","´_¿³","O3",21,19,17,15,11,17,16,12,9.7,11,10,10,16,27,32,35,38,36,23,17,9,5.5,5.7,2.2
