"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/11","­]®ß","NOx",8.2,8.2,10,9.7,9.4,9.1,14,16,22,17,14,18,16,14,13,NA,16,19,20,20,16,16,14,9
"2018/01/11","­]®ß","O3",44,44,41,41,41,40,36,34,31,37,41,42,44,45,NA,39,42,39,36,35,39,37,38,42
"2018/01/11","­]®ß","PM10",33,36,34,33,30,33,32,39,43,42,47,35,43,56,57,NA,62,42,53,54,45,42,32,30
"2018/01/11","­]®ß","SO2",3.6,2.6,3.6,2.8,2.8,2.8,3.1,3,3.3,3.8,3.4,3,2.9,3,3.1,NA,3.3,3.4,2.8,2.8,2.6,2.6,2.6,2.6
"2018/01/12","­]®ß","CO",0.19,0.17,0.17,0.17,0.17,0.18,0.22,0.31,0.28,0.25,0.25,0.3,0.31,0.3,0.31,0.35,0.4,0.47,0.48,0.61,0.5,0.5,0.41,0.42
"2018/01/12","­]®ß","NOx",6.3,4.6,4.7,5.1,4.2,4.7,9.1,16,12,9.7,9.4,13,12,12,12,15,18,18,19,24,20,20,15,15
"2018/01/12","­]®ß","O3",42,42,41,40,41,39,35,30,35,38,41,40,44,46,46,42,38,38,37,33,30,27,29,29
"2018/01/12","­]®ß","PM10",32,29,32,24,30,25,33,28,29,35,39,58,45,52,54,61,70,66,66,109,76,66,56,60
"2018/01/12","­]®ß","SO2",2.1,2.5,2.2,2.3,2.3,2.3,2.7,3,3.1,2.9,3.2,2.9,2.7,2.8,3,3.5,3.2,3.1,3.4,5.8,4.2,4,3.2,3.3
"2018/01/13","­]®ß","CO",0.34,0.3,0.24,0.22,0.22,0.26,0.32,0.46,0.46,0.34,0.28,0.26,0.25,0.24,0.25,0.25,0.27,0.36,0.43,0.56,0.66,0.69,0.51,0.46
"2018/01/13","­]®ß","NOx",12,11,9.2,9.1,8.6,10,16,21,24,15,9.2,9.6,8.7,9.4,9.4,11,11,17,22,31,40,48,31,25
"2018/01/13","­]®ß","O3",30,31,28,25,23,19,13,13,16,28,36,37,38,39,38,37,35,28,21,14,9.2,0.1,2.2,3.4
"2018/01/13","­]®ß","PM10",49,39,30,24,22,24,28,26,30,35,18,27,28,23,30,29,19,14,23,31,27,32,31,22
"2018/01/13","­]®ß","SO2",2.6,2.5,1.6,1.2,1.3,1.2,1.2,1.7,1.5,1.5,1.2,1.2,1.3,1.4,1.4,1.5,1.3,1.5,2.1,2.7,2.5,1.7,1.4,1.4
"2018/01/14","­]®ß","CO",0.41,0.32,0.32,0.28,0.28,0.27,0.46,0.45,0.61,0.6,0.33,0.37,0.3,0.27,0.21,0.21,0.23,0.31,0.41,0.51,0.87,0.78,0.7,0.47
"2018/01/14","­]®ß","NOx",27,26,21,14,19,14,23,26,31,34,37,25,18,14,9.3,9.6,11,14,23,32,56,52,40,26
"2018/01/14","­]®ß","O3",0.8,0.3,3,6,2.8,4.9,2.9,6.5,9.2,17,19,35,44,46,43,40,38,32,23,14,3.4,1,0.5,1.8
"2018/01/14","­]®ß","PM10",28,22,17,22,18,24,23,33,33,32,38,46,34,33,25,33,30,33,29,41,41,43,32,29
"2018/01/14","­]®ß","SO2",1.3,1.6,1.4,1.5,1.5,1.4,1.6,1.7,1.9,3.1,11,4.9,3.5,3.4,2.3,2.2,2.1,2.1,3.2,4.3,3.2,2.5,2.1,1.8
"2018/01/15","­]®ß","CO",0.37,0.25,0.23,0.23,0.23,0.27,0.41,0.87,0.77,0.44,0.31,0.39,0.34,0.27,0.22,0.25,0.32,0.36,0.33,0.3,0.25,0.24,0.28,0.33
"2018/01/15","­]®ß","NOx",19,9.2,8.9,7.8,9.1,16,23,54,44,29,18,27,24,17,14,13,19,16,16,17,12,10,11,14
