"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/13","玡马","O3",8.8,9.5,14,15,16,12,5.3,3.5,7.2,16,26,44,57,59,65,62,58,49,37,39,28,13,5.9,7.9
"2018/01/13","玡马","PM10",91,88,84,74,69,72,76,81,85,89,100,99,86,78,71,63,56,56,61,63,65,76,82,78
"2018/01/13","玡马","SO2",3.4,3.4,3,3.1,3.1,3.3,3.9,4.6,6.5,5.7,6.5,4.2,11,9.2,7.1,5.3,4.8,2.4,2.4,2.3,2.7,2.7,3.1,4.5
"2018/01/14","玡马","CO",0.62,0.52,0.55,0.56,0.58,0.61,0.55,0.79,0.96,0.62,0.48,0.42,0.35,0.31,0.31,0.36,0.41,0.44,0.51,0.46,0.6,0.64,0.67,0.66
"2018/01/14","玡马","NOx",43,33,32,30,29,33,36,54,63,34,22,17,15,18,18,14,17,19,28,24,30,32,33,33
"2018/01/14","玡马","O3",7.5,14,15,16,13,11,10,8.9,18,45,51,54,62,58,58,69,66,58,38,35,21,14,10,5.7
"2018/01/14","玡马","PM10",78,77,77,74,74,81,85,87,87,80,63,53,57,58,56,57,61,55,55,69,79,83,85,90
"2018/01/14","玡马","SO2",6.5,4.1,3.4,2.8,2.5,4.1,5.8,6.7,8,5.6,6.6,5.5,4.7,7,6.7,4,3.3,3.2,5.2,2.9,2.5,2.3,2.3,2.1
"2018/01/15","玡马","CO",0.54,0.41,0.41,0.35,0.31,0.34,0.52,0.88,1.02,0.8,0.69,0.58,0.51,0.46,0.39,0.32,0.33,0.69,0.65,1.06,1.32,1.14,1.09,0.83
"2018/01/15","玡马","NOx",30,26,15,12,11,14,22,41,44,36,32,28,29,44,42,30,27,31,28,48,60,53,50,40
"2018/01/15","玡马","O3",6.1,7.2,16,21,22,20,14,9.4,14,24,39,51,54,48,45,49,50,38,33,12,3.9,4.6,3.6,4
"2018/01/15","玡马","PM10",91,96,94,81,71,63,62,62,64,68,71,73,76,82,88,95,95,92,92,102,112,114,103,93
"2018/01/15","玡马","SO2",2.1,2.5,1.7,1.6,1.6,1.9,1.8,2,2.3,2.4,2.8,2.8,4.6,13,14,6.4,5.1,2.7,3.2,3.7,3.4,3,3,2.8
"2018/01/16","玡马","CO",0.71,0.53,0.48,0.39,0.39,0.43,0.53,0.96,1.19,0.96,0.81,0.54,0.64,0.53,0.47,0.43,0.49,0.75,0.99,0.79,0.81,0.88,1.08,0.89
"2018/01/16","玡马","NOx",36,25,28,19,15,17,23,42,52,46,39,26,31,26,23,25,25,35,44,41,44,46,54,50
"2018/01/16","玡马","O3",3.6,6.5,4.7,9.8,13,9.9,8.2,6.5,10,21,40,53,62,65,53,41,38,26,14,11,6.1,5.2,2.9,2.9
"2018/01/16","玡马","PM10",92,89,90,85,75,75,87,106,117,104,89,78,86,94,84,78,79,85,83,77,74,74,78,84
"2018/01/16","玡马","SO2",2.9,2.4,3.6,2.9,1.8,1.7,1.6,1.9,2.5,2.5,2.6,2.9,3.8,3.1,2.9,3.1,3.3,3.3,3.5,3.7,3.9,4.2,4.2,4.3
"2018/01/17","玡马","CO",0.75,0.76,0.61,0.46,0.46,0.51,0.53,0.75,0.94,0.82,0.62,0.6,0.58,0.52,0.42,0.41,0.46,0.49,0.6,1.03,1,1.42,1.46,0.84
"2018/01/17","玡马","NOx",42,46,29,19,23,26,26,38,40,44,39,36,61,58,41,31,44,40,35,40,43,56,62,54
"2018/01/17","玡马","O3",5.2,5.7,13,19,15,9.8,12,9.8,10,17,18,27,26,25,39,49,34,36,37,23,15,6.4,2,1.8
"2018/01/17","玡马","PM10",84,86,80,62,52,50,43,41,42,47,NA,42,63,91,97,90,87,87,84,86,90,97,109,116
"2018/01/17","玡马","SO2",3.6,3.5,3.2,2.3,2.8,2.9,3.8,4.7,2.7,3.9,2.8,3.1,18,17,15,7.8,6.2,5.4,4.9,3.2,3,4,5.1,8.8
"2018/01/18","玡马","CO",0.76,0.8,0.7,0.58,0.61,0.64,0.67,1.54,1.49,1.11,1.1,1.04,0.62,0.53,0.47,0.47,0.48,0.79,1.23,1.38,1.1,1.02,0.93,0.76
"2018/01/18","玡马","NOx",47,46,46,35,53,56,58,65,60,52,53,51,51,46,39,48,35,43,42,50,44,43,39,35
"2018/01/18","玡马","O3",3.1,6.4,4.6,5.1,1.7,2.1,1.9,3,6.3,17,39,54,35,42,54,47,61,36,31,18,12,6.8,6.2,7.2
"2018/01/18","玡马","PM10",112,110,107,107,117,126,132,139,154,165,159,154,134,115,111,111,118,115,106,113,122,121,121,116
"2018/01/18","玡马","SO2",7.9,5.1,7.3,7.5,14,12,14,6.4,5.1,7.4,6.9,6.6,13,12,10,16,13,7.4,4.2,3.7,3.3,3,3,2.9
"2018/01/19","玡马","CO",0.69,0.68,0.65,0.57,0.57,0.57,0.71,1.13,1.18,1.07,0.98,NA,0.55,0.53,0.44,0.48,0.49,0.83,0.85,0.57,1.13,0.71,0.66,1.02
"2018/01/19","玡马","NOx",30,29,29,21,22,20,25,41,43,44,54,NA,21,24,21,38,29,39,55,39,53,43,46,45
"2018/01/19","玡马","O3",7.1,5.8,4.9,7.2,5.8,6,4.2,2.8,4.9,11,NA,46,70,72,73,46,39,24,9.5,22,5.3,12,7.5,3.7
"2018/01/19","玡马","PM10",105,100,98,96,87,89,103,115,119,127,NA,124,105,91,93,92,94,90,91,90,96,97,87,89
"2018/01/19","玡马","SO2",2.8,2.9,3,3,3.1,2.7,2.4,2.8,2.6,2.6,6.8,NA,8.2,8.7,6.7,12,7.7,6.1,9.4,8.8,4.1,4.9,9.4,4
"2018/01/20","玡马","CO",0.83,0.86,0.71,0.59,0.47,0.48,0.59,0.84,0.75,0.7,0.51,0.43,0.46,0.43,0.46,0.47,0.51,0.77,0.77,0.71,0.92,1.11,1.06,0.88
"2018/01/20","玡马","NOx",39,41,31,28,24,19,25,35,30,34,36,24,26,18,20,25,18,21,21,21,34,39,36,29
"2018/01/20","玡马","O3",6.6,2.6,4.2,4.5,5.4,12,7.1,7.3,18,25,28,40,44,53,56,57,66,55,51,47,26,15,14,17
"2018/01/20","玡马","PM10",93,91,86,86,93,99,95,99,102,97,97,86,75,79,94,104,106,101,92,94,108,127,141,139
"2018/01/20","玡马","SO2",3.5,4.8,3,2.6,2.5,2.1,2.2,2.6,3.1,4.8,12,10,12,7.7,7.6,7.9,3.4,2.7,2.2,2.8,3.4,3.4,3.1,3
