"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/13","«í¬K","PM10",37,40,40,36,37,38,34,35,34,31,33,29,30,30,26,23,22,25,26,23,20,26,23,17
"2018/01/13","«í¬K","SO2",2.1,1.6,1.7,1.4,1.3,1.1,1,1.2,1,1,1.1,1,1,1.1,1,1.1,1,1.3,1,1.2,1.2,1.1,1.4,1.6
"2018/01/14","«í¬K","CO",0.11,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,NA,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.12
"2018/01/14","«í¬K","NOx",1.9,2.7,2.5,2.6,2.4,2.3,2.3,2.5,2.3,2.5,2.3,2.2,NA,2.3,2.4,2.4,2.3,2.4,2.3,2.4,2.3,2.4,2.7,2.5
"2018/01/14","«í¬K","O3",42,42,43,44,42,43,43,43,43,45,46,47,NA,49,49,49,50,50,50,50,50,48,47,46
"2018/01/14","«í¬K","PM10",26,27,21,20,21,22,23,21,18,19,20,19,NA,21,19,19,22,25,23,24,27,25,25,26
"2018/01/14","«í¬K","SO2",0.1,1.2,1,1.2,1,1.1,1.2,1.2,1.3,1.2,0.7,0.8,NA,1.1,0.6,0.9,0.9,0.8,0.9,1,1,1.3,1.3,1.3
"2018/01/15","«í¬K","CO",0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11
"2018/01/15","«í¬K","NOx",2.5,2.6,2.5,2.5,2.8,2.7,2.3,2.5,2.7,2.8,2.7,2.6,2.4,2.6,2.6,2.4,2.4,2.7,2.7,2.5,2.5,2.7,2.9,2.7
"2018/01/15","«í¬K","O3",46,44,45,44,44,43,43,43,42,44,46,47,47,47,47,46,47,45,46,45,47,45,45,43
"2018/01/15","«í¬K","PM10",24,21,25,25,24,28,25,23,23,22,24,24,23,22,23,25,24,26,27,23,22,24,26,27
"2018/01/15","«í¬K","SO2",1.8,2.5,2.4,2.3,2.4,2.3,2.4,2.4,2.3,2.2,2.4,2.2,2.2,2.2,2.1,2.3,2.5,2.6,2.8,2.6,2.3,2.6,2.4,2.4
"2018/01/16","«í¬K","CO",0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,NA,0.12,0.12,0.12,0.12,0.11,0.11,0.12
"2018/01/16","«í¬K","NOx",2.6,2.8,2.8,3.1,2.7,2.7,2.8,2.9,3.3,2.8,2.9,2.9,3.1,2.8,2.8,2.8,NA,2.8,2.9,2.9,2.9,2.9,2.8,2.9
"2018/01/16","«í¬K","O3",42,42,41,41,40,40,40,39,39,39,40,40,39,37,35,33,NA,28,33,34,35,33,33,32
"2018/01/16","«í¬K","PM10",24,28,29,28,30,29,26,25,25,24,20,18,16,16,17,17,NA,21,21,17,14,16,19,18
"2018/01/16","«í¬K","SO2",2.7,2.2,2.2,1.9,2.3,2.4,2.4,2.5,2.1,2.3,2,2,2.3,2.1,2.3,2,NA,2.1,2.5,2,2,2.3,1.8,2
"2018/01/17","«í¬K","CO",0.12,0.11,0.11,0.17,0.18,0.15,0.16,0.14,0.11,0.11,0.12,0.12,0.13,0.12,NA,NA,NA,0.14,0.14,0.14,0.14,0.14,0.14,0.13
"2018/01/17","«í¬K","NOx",2.9,2.9,3.1,3.9,4.3,3.8,3.5,3.6,3.3,3.1,3.1,3.3,3.6,3.2,NA,NA,NA,3.9,3.5,3.8,3.5,3.4,3.3,2.9
"2018/01/17","«í¬K","O3",32,28,27,37,41,38,40,29,24,30,32,32,37,40,NA,NA,NA,46,45,42,42,39,38,39
"2018/01/17","«í¬K","PM10",16,19,19,28,38,29,NA,23,17,12,15,17,20,20,21,23,NA,26,23,22,23,20,15,14
"2018/01/17","«í¬K","SO2",1.8,1.8,1.9,1.8,1.5,1.5,1.3,1.5,1.6,1.5,1.4,1.6,1.4,1.4,NA,NA,NA,2,1.8,2.1,1.6,1.6,1.6,1.5
"2018/01/18","«í¬K","CO",0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12
"2018/01/18","«í¬K","NOx",2.8,3.3,2.8,2.9,3.1,3,2.9,3,3.1,2.9,2.8,2.9,2.7,2.8,3,3,2.9,2.8,2.9,2.8,2.9,3.1,2.9,2.7
"2018/01/18","«í¬K","O3",43,41,42,41,41,40,40,39,38,34,37,39,40,40,40,40,40,40,42,40,39,39,41,43
"2018/01/18","«í¬K","PM10",16,21,25,30,26,26,27,20,16,15,16,16,15,16,18,20,20,21,20,21,21,19,20,23
"2018/01/18","«í¬K","SO2",0.7,0.9,1,1.2,1.1,1.1,1.5,1.4,1.3,1.4,1.4,1.2,1,1,1,1.2,1,1.1,1.2,1.2,1.3,1.2,1.1,1.1
"2018/01/19","«í¬K","CO",0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.18,0.18,0.16,0.17,0.17,0.16
"2018/01/19","«í¬K","NOx",2.6,2.7,2.8,3,3.3,3,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.1,2.9,2.6,2.7,2.7,2.6
"2018/01/19","«í¬K","O3",43,43,38,38,32,32,32,35,34,NA,NA,NA,NA,NA,NA,NA,NA,39,50,49,47,46,45,44
"2018/01/19","«í¬K","PM10",23,20,20,22,21,22,23,19,19,NA,NA,NA,NA,NA,NA,NA,NA,18,22,22,21,23,20,19
"2018/01/19","«í¬K","SO2",1.6,1.7,2,2,1.8,2,2.2,2.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.4,3.4,3.4,3.5,3.4,3.5
"2018/01/20","«í¬K","CO",0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.15,0.15,0.16,0.16,0.18,0.21,0.22,0.25,0.24,0.23,0.23,0.25,0.26,0.25,0.23
"2018/01/20","«í¬K","NOx",3.2,2.4,2.4,2.2,2.2,2.2,2.1,2.1,2,NA,3.4,3.4,3.5,3.3,3.4,3.5,3.5,3.5,3.5,3.4,3.2,3.6,3.8,3.3
"2018/01/20","«í¬K","O3",44,45,42,41,42,39,38,37,40,42,43,44,46,48,49,52,54,52,51,50,52,52,51,50
"2018/01/20","«í¬K","PM10",21,24,30,28,23,25,22,21,24,27,30,26,23,27,27,23,26,25,25,26,23,21,24,22
"2018/01/20","«í¬K","SO2",2.6,1.7,1.5,1.7,1.5,1.5,1.6,1.7,1.9,1.7,1.6,1.6,1.6,1.7,1.9,1.9,2.2,1.9,1.9,2.2,2.4,2.4,2.4,2.3
"2018/01/21","«í¬K","CO",0.23,0.23,0.23,0.23,0.21,0.2,0.21,0.23,0.23,0.24,0.23,0.23,0.24,0.21,0.2,NA,NA,NA,0.2,0.18,0.18,0.18,0.19,0.19
"2018/01/21","«í¬K","NOx",3.5,2.4,2.5,2.6,2.5,2.6,2.5,2.6,2.7,2.6,2.7,2.6,2.7,2.6,2.5,NA,1.9,1.8,1.7,1.8,1.8,1.7,1.7,1.9
"2018/01/21","«í¬K","O3",50,49,47,44,44,42,43,44,45,45,46,50,51,52,NA,52,51,51,50,51,51,51,49,49
"2018/01/21","«í¬K","PM10",26,26,27,29,23,26,27,25,24,21,22,26,25,22,NA,16,18,17,18,19,20,19,17,18
"2018/01/21","«í¬K","SO2",1.8,3.5,3.1,3.1,3.3,3.3,3.2,3.3,3.8,3.2,3.8,3.6,3.7,3.4,3.8,NA,3,3.2,3.7,3.1,3.1,4.3,4.4,4.2
"2018/01/22","«í¬K","CO",0.19,0.22,0.31,0.37,0.42,0.43,0.44,0.4,0.25,0.22,0.2,0.18,0.18,0.2,0.24,0.23,0.24,0.24,0.24,0.26,0.36,0.39,0.36,0.33
"2018/01/22","«í¬K","NOx",2,2.2,2.8,3.8,4.8,6.7,7.3,6.3,3.3,2.6,2.1,1.9,1.7,2.2,2.6,2.7,2.8,2.7,2.9,2.6,2.8,2.8,2.9,2.7
"2018/01/22","«í¬K","O3",46,45,50,53,53,43,33,28,39,40,43,43,43,44,49,49,51,52,51,52,55,59,58,57
