"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/14","到て","CO",0.39,0.35,0.33,0.31,0.3,0.29,0.39,0.49,0.43,0.35,0.32,0.29,0.27,0.27,0.3,0.24,0.22,0.26,0.27,0.34,0.3,0.28,0.26,0.29
"2018/01/14","到て","NOx",22,17,12,17,17,21,27,22,25,19,15,9.1,7.5,8.6,11,9.8,11,14,12,15,14,10,8.3,8.8
"2018/01/14","到て","O3",4.2,4.2,6.8,3.2,3.4,1.4,1.1,3.3,15,29,39,56,63,65,62,61,50,37,31,23,21,24,26,24
"2018/01/14","到て","PM10",56,51,48,29,23,16,18,23,32,46,NA,54,49,48,52,49,52,56,65,65,55,57,53,54
"2018/01/14","到て","SO2",2.1,2.2,1.4,1.1,1.2,0.9,1,1,5.9,5.1,3.9,2.2,1.6,1.9,3.2,2.7,2.3,1.5,0.7,1.2,1.3,0.7,0.5,0.4
"2018/01/15","到て","CO",0.32,0.31,0.31,0.26,0.26,0.29,0.34,0.38,0.4,0.31,0.3,0.32,0.27,0.25,0.25,0.24,0.25,0.31,0.33,0.31,0.3,0.33,0.33,0.31
"2018/01/15","到て","NOx",10,11,12,14,14,16,18,28,31,24,22,17,14,12,13,14,15,19,19,18,18,19,18,17
"2018/01/15","到て","O3",19,11,6.2,10,9.6,9,7.3,6,11,22,28,41,51,57,54,44,43,33,28,23,16,14,16,15
"2018/01/15","到て","PM10",53,53,46,36,33,34,33,36,40,47,53,49,51,45,NA,54,61,63,61,58,57,52,60,78
"2018/01/15","到て","SO2",1.1,1.8,2.2,1.8,1.7,1.6,1.6,2,3,4.6,4,3.9,3.4,3.2,3.4,2.8,2.6,2.5,2.6,2.4,2.4,2.7,2.2,1.9
"2018/01/16","到て","CO",0.31,0.34,0.34,0.36,0.33,0.38,0.37,0.36,0.43,0.4,0.45,0.35,0.27,0.25,0.29,0.28,0.28,0.34,0.45,0.51,0.47,0.52,0.5,0.46
"2018/01/16","到て","NOx",17,17,15,14,14,14,14,18,24,21,25,21,16,12,13,14,17,20,32,32,36,36,38,40
