"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/17","キ马","SO2",3.1,6.1,4.2,4.3,5,5,5.3,4.6,3.7,4.7,5.3,5.8,4.8,4.4,3.9,3.2,4,5,4,3.7,3.8,2.8,2.4,2.5
"2018/01/18","キ马","CO",0.3,0.24,0.24,0.25,0.27,0.3,0.4,0.63,0.61,0.52,0.46,0.5,0.47,0.48,0.5,0.57,0.45,0.51,0.57,0.47,0.45,0.5,0.46,0.37
"2018/01/18","キ马","NOx",12,8.3,7.7,6.5,7.3,9.4,22,35,25,23,23,23,21,21,24,27,33,31,29,24,24,31,23,15
"2018/01/18","キ马","O3",35,38,39,40,40,38,27,20,29,32,35,37,40,37,34,31,22,22,22,26,25,18,29,36
"2018/01/18","キ马","PM10",41,37,25,21,20,27,33,40,43,38,27,22,19,15,10,12,23,32,46,47,38,30,17,17
"2018/01/18","キ马","SO2",3.2,1.8,1.6,2.1,1.4,2.7,3.1,2.5,3,2,2,1.7,1.9,1.6,1.8,2.3,3.8,3.3,2.5,1.7,1.7,3,2.4,2.5
"2018/01/19","キ马","CO",0.32,0.28,0.28,0.28,0.3,0.32,0.37,0.58,0.71,0.64,0.72,0.55,0.47,NA,NA,0.6,0.69,0.9,0.84,0.8,0.65,0.61,0.55,0.44
"2018/01/19","キ马","NOx",16,10,10,7.5,8.2,8.9,15,30,42,47,47,40,33,NA,NA,45,35,46,41,34,26,23,30,18
"2018/01/19","キ马","O3",33,41,43,47,47,45,40,27,17,14,19,18,23,NA,23,17,26,17,19,24,29,29,21,33
"2018/01/19","キ马","PM10",11,19,20,25,23,25,17,17,21,21,19,27,35,NA,42,48,44,46,35,37,44,51,61,57
"2018/01/19","キ马","SO2",1.7,0.7,0.7,1,0.6,0.5,0.5,0.8,1.3,1.6,1.6,1.7,2.5,NA,1.6,1.4,1.2,2.4,3.2,3.5,2.7,2,1.8,0.8
"2018/01/20","キ马","CO",0.43,0.43,0.4,0.42,0.44,0.46,0.51,0.63,0.59,0.71,0.69,0.62,0.68,0.63,0.64,0.66,0.72,0.82,0.7,0.58,0.51,0.54,0.57,0.48
"2018/01/20","キ马","NOx",16,20,14,11,11,14,22,24,19,40,31,23,24,21,23,25,27,30,31,26,21,22,19,14
"2018/01/20","キ马","O3",35,29,36,43,44,42,34,32,38,21,29,38,40,41,38,34,31,28,25,29,34,33,37,43
"2018/01/20","キ马","PM10",51,35,29,38,42,51,50,52,40,37,40,43,46,33,35,50,49,44,46,42,43,36,30,25
"2018/01/20","キ马","SO2",0.8,3,2.1,2,2,2.4,2.8,2.5,2.8,3,2.5,3,2.4,2,2.6,2.8,3.1,3.4,2.9,2.6,2.1,2.6,4.8,2.3
"2018/01/21","キ马","CO",0.42,0.43,0.41,0.38,0.39,0.39,0.44,0.53,0.53,0.48,0.48,0.45,0.59,0.63,0.57,0.57,0.62,0.7,0.72,0.67,0.48,0.44,0.45,0.38
"2018/01/21","キ马","NOx",9.8,7.5,7.1,6.5,9,10,18,22,14,14,13,12,18,20,20,20,24,28,28,26,23,17,18,12
"2018/01/21","キ马","O3",47,47,48,47,43,41,32,29,40,41,41,41,40,37,34,32,28,23,22,19,19,30,29,35
