ค้ดม,ด๚ฏธ,ด๚ถต,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/19,จFณภ,CO,0.25,0.24,0.24,0.24,0.25,0.26,0.29,0.37,0.33,0.33,0.36,0.37,0.4,NA,NA,0.37,0.41,0.49,0.51,0.51,0.42,0.45,0.42,0.42
2018/1/19,จFณภ,NOx,11,8.9,7.8,7.3,7.1,8.2,11,16,16,18,19,20,NA,NA,NA,NA,NA,NA,29,29,21,20,16,16
2018/1/19,จFณภ,O3,36,39,42,41,44,40,36,32,32,31,31,NA,NA,NA,35,29,21,14,13,11,20,20,26,26
2018/1/19,จFณภ,PM10,48,37,34,29,23,23,22,22,24,22,21,25,29,30,36,38,33,35,46,47,43,53,57,53
2018/1/19,จFณภ,SO2,1.8,1.3,1.1,0.9,1,0.8,1,1.2,1.2,1.2,1.3,1.7,NA,NA,NA,2,1.7,1.5,1.9,2,2.3,2.3,2.7,2.6
2018/1/20,จFณภ,CO,0.39,0.39,0.38,0.36,0.37,0.38,0.41,0.46,0.5,0.46,0.47,0.43,0.43,0.42,0.44,0.46,0.51,0.58,0.56,0.5,0.47,0.43,0.44,0.48
2018/1/20,จFณภ,NOx,12,12,11,8.6,7.4,8.3,9.5,13,19,16,16,12,13,11,11,11,13,16,15,13,10,9,9.7,12
2018/1/20,จFณภ,O3,31,26,31,38,40,36,36,34,29,36,38,47,49,54,58,57,52,45,42,43,44,44,38,28
2018/1/20,จFณภ,PM10,51,51,51,56,61,69,72,69,72,71,62,55,59,65,65,72,86,94,95,93,87,78,72,66
2018/1/20,จFณภ,SO2,2.3,1.7,1.8,1.4,0.9,0.8,0.9,1.2,1.3,1.9,2.1,1.5,1.6,1.4,1.2,1.3,1.5,1.6,1.6,1.8,1.4,1.2,1.2,1.3
2018/1/21,จFณภ,CO,0.49,0.4,0.39,0.41,0.38,0.35,0.34,0.34,0.36,0.38,0.45,0.48,0.37,0.33,0.34,0.33,0.34,0.35,0.35,0.34,NA,NA,NA,NA
2018/1/21,จFณภ,NOx,13,9.4,9.1,9,8.8,8.6,9.1,8.9,11,12,14,15,12,8.2,8.1,8.2,8.1,7.7,9.3,9.1,NA,NA,NA,NA
2018/1/21,จFณภ,O3,27,34,34,32,35,33,36,34,31,29,34,44,51,60,58,56,53,49,46,44,NA,NA,NA,NA
2018/1/21,จFณภ,PM10,62,59,52,53,54,48,46,47,42,39,34,43,51,43,38,34,39,49,53,57,NA,NA,NA,NA
2018/1/21,จFณภ,SO2,1.7,2.6,2.4,2.7,2.4,2.4,2.2,1.8,1.9,2,2.1,2.2,2.6,2.2,2.1,2,1.7,1.7,1.9,1.7,NA,NA,NA,NA
2018/1/22,จFณภ,CO,NA,0.28,0.28,0.3,0.31,0.33,0.37,0.47,0.49,0.47,0.45,0.47,0.42,0.37,NA,NA,0.59,0.6,0.58,0.56,0.54,0.53,0.51,0.47
2018/1/22,จFณภ,NOx,NA,3.8,3.9,4.8,5.6,8.3,9.5,19,21,23,25,22,18,14,NA,NA,13,16,17,16,14,15,15,14
2018/1/22,จFณภ,O3,46,46,41,34,30,25,23,13,15,19,20,29,38,48,NA,65,60,47,40,38,39,38,35,33
2018/1/22,จFณภ,PM10,43,42,39,37,41,48,58,63,68,65,59,63,60,54,NA,46,54,56,47,41,41,39,34,31
2018/1/22,จFณภ,SO2,NA,1.5,1.3,1,1.1,1.4,1.6,1.7,1.7,2.3,2.7,2.5,2.3,2.3,NA,NA,2.1,2.2,2.1,2.3,2.4,2.5,2.6,2.7
2018/1/23,จFณภ,CO,0.43,0.37,0.37,0.35,0.28,0.28,0.31,0.42,0.43,0.32,0.28,0.26,0.2,0.18,0.18,0.2,0.2,0.26,0.29,0.29,0.3,0.32,0.31,0.29
2018/1/23,จFณภ,NOx,13,13,14,13,13,12,16,23,28,21,18,13,7.8,6.5,7,7.3,8.4,13,16,16,16,17,17,13
2018/1/23,จFณภ,O3,34,34,31,30,33,31,25,20,21,31,40,51,56,55,55,54,51,43,36,33,31,28,28,29
2018/1/23,จFณภ,PM10,32,34,31,29,30,30,30,31,37,42,44,45,45,44,47,49,48,48,49,46,40,35,38,35
2018/1/23,จFณภ,SO2,2.6,2.4,2.5,2.8,2.3,2.3,1.9,2,2.8,3.2,2.9,2.8,2.1,1.8,1.6,1.6,1.7,1.9,2.2,2.4,2.7,2.7,2.4,2
2018/1/24,จFณภ,CO,0.29,0.26,0.26,0.25,0.25,0.26,0.31,0.44,0.42,0.37,0.38,0.44,0.43,0.37,0.35,0.34,0.37,0.44,0.46,0.51,0.6,0.53,0.47,0.4
2018/1/24,จFณภ,NOx,13,12,12,10,9.2,8.9,12,19,19,15,12,13,12,9.6,9.2,9.1,11,19,21,23,30,28,24,18
2018/1/24,จFณภ,O3,28,28,32,34,35,35,31,28,33,39,45,55,62,64,62,57,49,36,29,23,13,13,17,22
2018/1/24,จFณภ,PM10,28,27,27,24,22,24,27,35,42,40,39,51,86,94,69,64,64,63,62,52,43,34,27,33
2018/1/24,จFณภ,SO2,1.7,2,2.5,2,1.6,1.4,1.4,1.8,2.5,2,2.1,2.3,2.2,1.9,1.9,1.9,1.9,2,2.2,2.5,2.7,2.8,2.8,2.6
2018/1/25,จFณภ,CO,0.35,0.35,0.29,0.3,0.3,0.3,0.31,0.37,0.32,NA,NA,NA,NA,NA,0.2,0.19,0.19,0.23,0.2,0.2,0.22,0.23,0.25,0.24
2018/1/25,จFณภ,NOx,13,14,12,15,17,17,17,19,19,NA,NA,NA,NA,NA,7.1,7.3,8.8,11,9.2,9.6,9.2,10,13,13
2018/1/25,จFณภ,O3,30,26,26,18,14,16,19,22,27,NA,NA,NA,NA,NA,51,47,42,39,38,35,34,32,25,24
2018/1/25,จFณภ,PM10,32,29,26,23,24,21,22,33,33,NA,NA,NA,NA,NA,31,31,36,39,39,35,35,36,34,37
2018/1/25,จFณภ,SO2,2,3.2,2.2,2.4,2.1,2.1,2.8,3,2.7,NA,NA,NA,NA,NA,1.8,1.8,1.8,1.7,1.6,1.8,1.8,2,1.9,2.1
2018/1/26,จFณภ,CO,0.24,0.25,0.24,0.23,0.2,0.19,0.19,0.23,0.24,NA,0.23,0.22,0.22,0.22,0.19,0.21,0.22,0.28,0.29,0.3,0.29,0.3,0.27,0.26
2018/1/26,จFณภ,NOx,12,12,9.9,8.7,8,7,7.1,8.2,9.5,NA,14,13,12,11,9,11,12,13,15,15,13,12,12,11
2018/1/26,จFณภ,O3,25,26,30,31,35,36,36,35,33,NA,30,34,37,40,41,38,34,30,27,25,27,27,28,29
2018/1/26,จFณภ,PM10,40,40,34,27,27,25,23,20,23,NA,23,31,38,42,61,68,48,34,28,20,16,15,13,12
2018/1/26,จFณภ,SO2,3.2,2.8,2.9,2.4,2.2,1.7,1.6,1.5,1.6,NA,1.9,1.9,1.9,1.9,1.7,1.8,1.9,2,2,2.2,1.9,2,1.9,2
2018/1/27,จFณภ,CO,0.24,0.21,0.18,0.18,0.19,0.17,0.18,0.23,0.25,0.24,0.29,0.32,0.3,0.23,0.21,0.21,0.22,0.28,0.28,0.24,0.32,0.29,0.21,0.2
2018/1/27,จFณภ,NOx,9.9,9.6,8.4,8,7.3,7.4,8.7,11,14,14,17,17,14,10,7.9,8,7.5,12,10,9.5,12,13,7.6,7.7
2018/1/27,จFณภ,O3,29,30,31,31,32,31,29,27,27,29,31,36,43,49,48,45,42,35,34,33,28,29,34,31
2018/1/27,จFณภ,PM10,12,18,16,14,12,9,8,11,15,15,24,27,35,42,34,32,37,39,39,41,40,41,41,37
2018/1/27,จFณภ,SO2,2,2,2,1.9,2,1.9,2,2,2.4,2.2,2.3,2.4,2.4,2.4,2,2,2,2,1.9,2,2,2.1,2.2,2.3
2018/1/28,จFณภ,CO,0.18,0.19,0.18,0.21,0.2,0.19,0.22,0.24,0.25,0.24,0.24,0.24,0.26,0.24,0.24,0.25,0.25,0.26,0.24,0.24,0.25,0.25,0.24,0.21
2018/1/28,จFณภ,NOx,6.5,5.4,4.9,5.7,5.6,5.4,6.5,7.8,9.5,10,9.2,9.8,13,11,11,13,14,16,15,13,13,12,12,9.2
2018/1/28,จFณภ,O3,29,29,28,25,26,26,23,22,20,20,22,22,24,25,23,21,22,18,20,21,20,20,20,24
2018/1/28,จFณภ,PM10,40,41,37,45,51,39,25,31,41,40,27,17,18,22,16,12,18,14,10,11,14,11,11,15
