"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/09","´I¶Q¨¤","O3",27,33,40,40,38,39,39,34,37,37,39,42,45,46,45,43,42,42,44,45,48,48,49,50
"2018/01/09","´I¶Q¨¤","PM10",66,76,80,84,76,77,58,59,70,74,67,78,77,74,62,78,80,71,63,59,53,60,60,56
"2018/01/09","´I¶Q¨¤","SO2",0.1,0.4,0.8,0.7,0.4,0.5,0.7,0.4,0.8,1,1,1.3,1.3,1.3,1.2,1,1,1.1,1.2,1.1,1.1,1.2,1.1,1
"2018/01/10","´I¶Q¨¤","CO",0.27,0.26,0.26,0.26,0.26,0.24,0.22,0.19,0.18,0.17,0.15,0.13,0.13,NA,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17
"2018/01/10","´I¶Q¨¤","NOx",1.7,1.8,1.9,2,2.1,2.9,2.9,2.7,3,2.9,2.4,1.6,NA,NA,NA,1.2,1.6,1.3,1.4,1.2,1.6,2,1.6,1.4
"2018/01/10","´I¶Q¨¤","O3",50,50,50,49,47,44,44,45,46,47,48,50,51,47,NA,55,55,55,55,55,54,53,53,52
"2018/01/10","´I¶Q¨¤","PM10",49,65,78,78,78,79,71,65,66,63,70,64,59,58,NA,59,45,46,44,41,42,49,46,42
"2018/01/10","´I¶Q¨¤","SO2",1.1,1,1,1.1,1.1,1.5,1.2,1,1.1,1.1,1,0.6,0.6,NA,NA,0.8,0.9,0.7,0.8,0.7,0.9,1,1,0.9
"2018/01/11","´I¶Q¨¤","CO",0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.13,0.12,0.13
"2018/01/11","´I¶Q¨¤","NOx",1.5,1.6,1.6,1.6,1.7,1.9,2.3,2.6,2.4,2.5,2.5,2.2,2,2,2,2.3,2.4,2.2,2,2.1,2.1,1.8,1.4,1.5
"2018/01/11","´I¶Q¨¤","O3",52,51,51,50,49,47,46,45,45,44,45,48,52,54,55,56,56,56,55,54,51,48,48,47
"2018/01/11","´I¶Q¨¤","PM10",45,48,37,50,49,56,54,54,56,57,55,60,63,57,58,64,64,55,51,52,51,46,44,38
"2018/01/11","´I¶Q¨¤","SO2",0.9,1.2,1.2,1.2,1.3,1.3,1.5,1.6,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.1,1.1,1.1,0.9,0.9,1
"2018/01/12","´I¶Q¨¤","CO",0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.23,0.24,0.22,0.2,0.19,0.19,0.18,0.17,0.16,0.14,0.13
"2018/01/12","´I¶Q¨¤","NOx",1.5,1.9,2,1.7,1.7,1.7,1.9,2.6,2.8,2.8,3.1,3.3,3.6,4.5,4.9,4.5,3.8,3.7,3.7,3.4,3.4,3,2.5,1.7
"2018/01/12","´I¶Q¨¤","O3",47,46,46,46,46,46,46,43,44,45,46,48,49,48,50,52,51,49,43,41,41,41,41,42
"2018/01/12","´I¶Q¨¤","PM10",49,41,46,41,48,45,48,50,48,57,65,64,63,69,66,60,60,62,54,45,46,46,40,37
"2018/01/12","´I¶Q¨¤","SO2",1.1,1.1,1.2,1,1,1.1,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.6,1.4,1,0.9,0.7,0.8,0.8,0.7,0.6,0.3
"2018/01/13","´I¶Q¨¤","CO",0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09
"2018/01/13","´I¶Q¨¤","NOx",1.4,1.6,1.4,1.2,1.1,1,1,1.1,1.2,0.8,0.8,0.7,0.8,0.8,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7
"2018/01/13","´I¶Q¨¤","O3",41,40,40,40,40,41,40,40,41,42,43,44,44,44,44,45,46,45,45,45,45,45,46,46
"2018/01/13","´I¶Q¨¤","PM10",39,37,35,29,31,37,34,25,36,31,32,29,28,35,26,30,23,23,30,35,30,31,27,30
"2018/01/13","´I¶Q¨¤","SO2",0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0.1
"2018/01/14","´I¶Q¨¤","CO",0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.1,0.1,0.1
"2018/01/14","´I¶Q¨¤","NOx",1,2.9,2.8,2.1,1.6,1.7,1.3,2.1,1.6,0.9,0.7,0.6,0.7,1,1.2,0.9,1.2,2.5,3.3,3.5,4.8,2.4,1.6,1.4
"2018/01/14","´I¶Q¨¤","O3",44,40,40,39,38,39,41,40,43,45,45,46,47,46,46,48,48,44,38,39,38,42,44,44
"2018/01/14","´I¶Q¨¤","PM10",68,74,53,90,72,98,62,43,32,33,33,32,37,37,34,24,37,37,57,53,49,32,24,16
