"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/12","оч╢щ","CO",0.52,0.39,0.41,0.38,0.34,0.34,0.44,0.97,0.82,0.54,0.33,0.3,0.3,0.3,0.32,0.34,0.39,0.47,0.5,0.47,0.45,0.51,0.47,0.39
"2018/01/12","оч╢щ","NOx",29,24,26,22,21,23,41,69,60,37,18,15,13,12,12,15,20,26,26,28,26,29,26,20
"2018/01/12","оч╢щ","O3",15,16,12,11,12,12,7.4,4.3,10,22,33,38,41,42,42,40,36,30,27,21,19,15,18,22
"2018/01/12","оч╢щ","PM10",40,40,35,34,33,36,37,45,49,53,50,52,53,53,53,52,60,62,63,52,43,40,34,38
"2018/01/12","оч╢щ","SO2",12,12,11,8,12,6.9,6.8,11,12,5,3.6,3,NA,NA,NA,NA,NA,NA,NA,NA,2.2,5.3,9.8,10
"2018/01/13","оч╢щ","CO",0.33,0.29,0.27,0.26,0.28,0.3,0.31,0.44,0.46,0.34,0.31,0.26,0.26,0.24,0.27,0.26,0.28,0.28,0.25,0.28,0.33,0.27,0.2,0.26
"2018/01/13","оч╢щ","NOx",16,11,10,8.9,11,15,18,23,24,16,15,11,10,10,13,14,15,12,9.2,12,16,11,6.3,9.9
"2018/01/13","оч╢щ","O3",25,27,27,26,22,20,17,17,20,28,32,35,35,36,33,32,31,32,33,30,26,31,38,32
"2018/01/13","оч╢щ","PM10",32,33,23,21,24,26,21,16,24,34,40,28,22,17,23,25,27,30,21,15,10,22,29,25
"2018/01/13","оч╢щ","SO2",5.8,4.5,10,8.2,7.3,12,9,9.9,12,11,11,12,12,12,13,15,14,14,14,15,18,15,15,18
"2018/01/14","оч╢щ","CO",0.28,0.24,0.22,0.21,0.21,0.18,0.23,0.32,0.3,0.39,0.3,0.26,0.25,0.21,0.25,0.28,0.34,0.27,0.36,0.42,0.51,0.56,0.55,0.51
"2018/01/14","оч╢щ","NOx",11,13,11,11,12,11,13,16,16,21,16,14,13,11,14,17,21,17,24,27,33,36,33,30
"2018/01/14","оч╢щ","O3",30,29,30,31,29,31,28,25,29,30,34,38,40,41,39,36,31,31,23,20,15,13,15,17
"2018/01/14","оч╢щ","PM10",22,15,16,9,13,13,18,17,17,13,11,20,20,25,15,14,16,13,16,15,19,24,20,19
"2018/01/14","оч╢щ","SO2",6.3,9.3,8.1,2.5,7.1,9.1,8.2,8.3,7.8,5.1,4.1,4.2,4.6,5.7,5.8,6.6,5.9,7.2,8.7,6.8,6.6,7.2,7,6.8
