"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/12","打","O3",32,35,31,30,32,32,30,26,34,37,42,46,48,50,49,48,48,45,43,40,33,29,24,28
"2018/01/12","打","PM10",40,32,30,34,32,34,35,36,37,39,47,54,54,55,59,64,62,58,55,49,45,40,40,35
"2018/01/12","打","SO2",3.8,2.1,2.6,3,3,2.8,2.5,2.5,2,1.7,1.4,1.7,1.9,2.2,2.1,2.2,1.5,0.7,0.9,1.4,2,1.4,1.7,1
"2018/01/13","打","CO",0.28,0.28,0.24,0.31,0.3,0.33,0.29,0.24,0.28,0.28,0.24,0.21,0.19,0.17,0.17,0.17,0.18,0.2,0.23,0.2,0.22,0.22,0.2,0.18
"2018/01/13","打","NOx",13,18,13,13,18,18,18,12,15,17,12,10,8.5,8.2,7.9,9.5,9.7,9.7,10,8.9,9.8,12,9.8,8.4
"2018/01/13","打","O3",28,24,29,28,21,20,21,29,30,31,38,41,42,42,42,40,39,38,36,37,34,33,36,37
"2018/01/13","打","PM10",29,28,24,23,27,29,26,23,26,28,27,28,28,28,23,17,26,28,19,15,15,16,16,16
"2018/01/13","打","SO2",1.8,2.6,1.9,2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.6,0.7,-0.5,NA,NA,NA,NA,NA,NA
"2018/01/14","打","CO",0.2,0.19,0.18,0.19,0.17,0.15,0.16,0.31,0.29,0.33,0.26,0.25,0.16,0.13,0.13,0.13,0.14,0.17,0.18,0.2,0.23,0.28,0.29,0.41
"2018/01/14","打","NOx",9.5,10,7.6,9.5,8.9,8.9,9.6,16,16,19,12,10,6.1,4.3,4,4.6,5.2,5.4,8.5,11,14,21,17,25
"2018/01/14","打","O3",35,33,33,29,28,31,29,25,28,32,42,47,50,48,48,47,45,44,39,35,30,22,24,11
"2018/01/14","打","PM10",17,18,21,18,16,19,16,17,23,28,31,30,23,21,24,21,21,24,27,30,27,24,24,23
"2018/01/14","打","SO2",1.5,3.2,2.1,2.2,2.6,3.1,3.4,3.1,2.2,3,2.8,3,2.8,3.4,3.3,3.4,3,3.1,3.1,3.1,3.4,3.3,3.5,2.5
"2018/01/15","打","CO",0.64,0.6,0.45,0.27,0.22,0.25,0.58,1.23,0.75,0.39,0.32,0.33,0.23,0.17,0.16,0.17,0.18,0.25,0.31,0.6,0.6,0.51,0.31,0.28
"2018/01/15","打","NOx",53,45,31,15,11,15,28,53,54,27,24,32,16,8.1,6.6,8,9.3,12,18,41,54,41,21,16
"2018/01/15","打","O3",2.4,2.4,6.1,16,22,19,10,5.2,10,26,33,33,43,47,47,46,42,37,28,6,2.7,4.7,17,19
"2018/01/15","打","PM10",27,26,28,29,22,19,21,25,33,38,33,37,41,31,23,24,30,37,46,53,52,53,54,50
"2018/01/15","打","SO2",2.5,1.7,1.5,1.1,1,1,0.6,1.4,3.4,4.1,4.5,6.9,5,3.8,3.2,4,3.5,3.1,2.6,2.1,2.4,1.9,1.4,0.6
"2018/01/16","打","CO",0.27,0.24,0.22,0.21,0.22,0.25,0.32,0.62,0.5,0.29,0.23,0.21,0.18,0.2,0.19,0.21,0.32,0.38,0.59,0.74,0.77,0.55,0.32,0.29
"2018/01/16","打","NOx",19,21,15,16,22,40,46,53,37,16,11,10,10,9.9,9.2,12,26,26,38,50,54,41,23,16
"2018/01/16","打","O3",14,11,19,17,12,4.6,2.4,3.7,14,30,37,38,33,35,36,31,20,18,7.6,3.9,3.3,9.7,20,24
"2018/01/16","打","PM10",47,45,50,55,52,55,63,66,66,59,58,62,53,50,49,NA,84,94,110,118,98,69,46,27
"2018/01/16","打","SO2",1.5,4,4,4.7,4.5,5.7,6.9,5.1,4.8,4.1,4,5.1,4.8,4.8,4.9,5.3,5.8,5.3,6,5.8,4.8,3.9,3,2.4
"2018/01/17","打","CO",0.42,0.37,0.2,0.23,0.28,0.3,0.24,0.28,0.25,0.25,0.24,0.44,0.48,0.36,0.25,0.24,0.3,0.36,0.38,0.4,0.39,0.3,0.27,0.26
"2018/01/17","打","NOx",24,27,16,14,20,21,16,15,17,25,18,33,30,24,14,13,14,20,19,18,17,13,12,12
"2018/01/17","打","O3",14,12,28,24,15,14,17,22,22,23,33,33,48,60,64,60,56,42,40,39,38,40,37,35
"2018/01/17","打","PM10",23,41,63,78,90,95,92,76,55,51,53,61,72,71,70,73,76,70,65,60,54,44,37,34
"2018/01/17","打","SO2",3.1,4,4.6,4.6,6.5,6.1,5.1,4.3,3.1,5.2,4.6,6.2,6.3,6.5,4.8,4.8,4.4,6.1,5,4.5,3.9,3,2.8,2.3
"2018/01/18","打","CO",0.24,0.29,0.23,0.22,0.2,0.22,0.27,0.33,0.32,0.34,0.35,0.35,0.33,0.27,0.26,0.26,0.26,0.29,0.29,0.3,0.29,0.29,0.29,0.29
"2018/01/18","打","NOx",10,9.3,7.8,8.2,7.2,6.9,7.8,10,14,20,19,18,16,12,14,11,9,10,9.8,9.7,11,14,9.2,12
"2018/01/18","打","O3",34,36,39,37,41,42,45,42,39,35,40,42,46,44,43,45,46,45,44,42,38,37,40,38
"2018/01/18","打","PM10",28,20,15,22,31,38,52,56,45,41,40,35,30,28,35,42,46,52,53,51,39,30,27,23
"2018/01/18","打","SO2",2.5,2.1,2.7,3.1,3.2,2.6,2,1.6,2.5,3.9,3.3,3.4,2.9,3.3,3.5,2.6,2.1,2,1.9,1.6,1.9,1,0.8,2.3
"2018/01/19","打","CO",0.27,0.25,0.26,0.25,0.26,0.25,0.28,0.34,0.31,0.27,0.32,0.32,0.29,0.29,0.3,0.32,0.39,0.41,0.49,0.44,0.46,0.42,0.34,0.34
"2018/01/19","打","NOx",6.7,4.5,3.2,2.1,2.2,2.7,6.1,13,13,9.1,12,15,11,11,12,14,22,18,24,18,19,17,7.5,4.5
"2018/01/19","打","O3",47,50,53,54,54,52,47,40,39,41,38,38,43,44,44,43,32,34,24,29,29,32,44,50
"2018/01/19","打","PM10",21,23,20,19,21,20,18,18,20,18,19,25,35,42,43,48,51,47,46,50,51,51,54,55
