"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/10","³Á¼d","O3",36,33,34,33,36,31,31,27,36,37,41,NA,43,51,51,53,50,39,33,37,36,37,40,45
"2018/01/10","³Á¼d","PM10",35,40,49,52,58,51,54,58,58,61,63,64,NA,65,58,56,55,67,60,43,47,50,43,41
"2018/01/10","³Á¼d","SO2",3.1,4.1,3,3.7,3.1,4.6,6.1,6.7,3.5,3.1,2.5,2.8,NA,1.9,1.8,1.7,1.7,4.9,5.7,3.5,3.3,2.3,1.5,1.7
"2018/01/11","³Á¼d","CO",0.18,0.27,0.26,0.31,0.37,0.37,0.32,0.42,0.39,0.39,0.34,0.31,0.32,0.28,0.27,0.27,0.26,0.28,0.29,0.29,0.29,0.32,0.38,0.55
"2018/01/11","³Á¼d","NOx",6.9,9.5,8.5,10,13,13,14,20,16,19,16,12,13,9.1,7.4,7.4,7.8,8.1,11,9.9,11,13,16,23
"2018/01/11","³Á¼d","O3",43,40,41,39,36,36,35,31,33,31,36,42,45,52,53,52,50,48,43,42,40,38,33,26
"2018/01/11","³Á¼d","PM10",45,47,52,54,40,42,47,54,43,55,63,77,76,83,79,75,73,68,69,71,65,63,64,51
"2018/01/11","³Á¼d","SO2",2,4.1,4,4.8,5.7,5.6,6.5,7.3,6.2,7.1,5.3,3.9,4.6,3.2,2.6,2.5,2.2,2.2,3,2.5,3.4,3.7,5.6,8.1
"2018/01/12","³Á¼d","CO",0.38,0.2,0.21,0.21,0.29,0.22,0.37,0.39,0.35,0.38,0.29,0.22,NA,0.24,0.25,0.26,0.27,0.33,0.34,0.39,0.47,0.45,0.44,0.52
"2018/01/12","³Á¼d","NOx",16,10,12,10,14,6.4,14,21,20,21,17,9.8,NA,8.8,8.1,8,9.4,12,15,20,24,19,17,21
"2018/01/12","³Á¼d","O3",34,37,34,35,30,38,32,27,29,31,35,NA,45,50,52,51,47,42,36,29,25,28,25,21
"2018/01/12","³Á¼d","PM10",53,48,48,44,48,38,37,52,63,59,77,NA,101,86,97,92,86,80,88,83,74,57,50,50
"2018/01/12","³Á¼d","SO2",6.7,5.6,7.5,6.4,7.1,3.1,5.3,9.1,8.5,7.6,6.6,3.2,NA,2.8,2.8,2.9,2.8,3,4.1,6.1,7.3,6.3,5.4,6.7
"2018/01/13","³Á¼d","CO",0.55,0.49,0.59,0.52,0.41,0.25,0.2,0.27,0.49,0.44,0.26,0.36,0.26,0.24,0.22,0.19,0.19,0.19,0.21,0.2,0.22,0.3,0.5,0.38
"2018/01/13","³Á¼d","NOx",19,15,19,17,14,9.1,7.5,12,24,19,12,20,13,9,7,5.4,6,7.8,9.4,9.7,10,15,22,17
"2018/01/13","³Á¼d","O3",20,22,17,20,21,27,28,26,20,27,33,31,39,51,54,49,43,38,32,28,25,19,12,13
"2018/01/13","³Á¼d","PM10",55,41,44,38,28,28,29,33,36,39,47,54,63,58,59,63,50,51,49,42,45,47,49,40
"2018/01/13","³Á¼d","SO2",6.6,5.8,7.4,6.5,5,3.3,2.7,3.4,8.1,6.1,3.2,5.7,4.4,3.3,2.4,2.6,2.6,2.4,2.2,2.1,1.9,2.4,3.6,2.7
"2018/01/14","³Á¼d","CO",0.3,0.3,0.35,0.42,0.48,0.5,0.47,0.47,0.49,0.35,0.22,0.23,0.24,0.2,0.19,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16
"2018/01/14","³Á¼d","NOx",16,18,22,27,29,28,25,24,26,18,9.5,11,15,7.8,6.5,6.9,7.2,7.1,6.7,6.8,7.3,7.2,6.6,6.6
"2018/01/14","³Á¼d","O3",11,7.8,3.5,2.4,2,2.1,5,9.2,15,28,37,39,38,48,50,43,42,39,38,36,35,33,32,31
"2018/01/14","³Á¼d","PM10",39,49,50,53,56,55,62,59,81,54,40,48,50,42,52,71,55,44,47,49,51,54,55,49
"2018/01/14","³Á¼d","SO2",1.8,1.3,1.3,1.5,1.5,1.7,1.6,1.6,2.2,4.6,2.6,3.2,5.3,2.4,2.2,1.7,1.6,1.3,1.1,1.2,1.3,1.3,1.2,1.6
"2018/01/15","³Á¼d","CO",0.16,0.15,NA,0.22,0.32,0.35,0.43,0.55,0.44,0.28,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.17,0.16,0.17,0.15,0.15
