"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/12","大里","SO2",2,1.7,1.6,1.4,1.5,1.6,1.5,1.9,1.9,1.7,2,2.1,2.1,2.3,2.9,2.9,2.9,2.7,2.9,2.7,3,2.6,2.1,1.8
"2018/01/13","大里","CO",0.49,0.45,0.43,0.42,0.42,0.53,0.61,0.8,0.79,0.63,0.57,0.51,0.32,0.3,0.27,0.26,0.27,0.35,0.55,0.83,0.85,0.78,0.81,0.61
"2018/01/13","大里","NOx",21,18,18,19,16,22,33,50,51,40,35,34,14,12,11,13,15,19,31,50,59,51,57,29
"2018/01/13","大里","O3",9,7.5,5.9,4.7,5.2,1.6,1.2,2.3,4.4,12,23,29,46,55,54,44,37,28,14,3.1,1.1,1.3,0.9,4
"2018/01/13","大里","PM10",52,48,47,38,37,39,43,49,49,42,39,37,45,41,30,27,28,30,27,29,48,56,58,47
"2018/01/13","大里","SO2",2.2,2.3,2.1,2.5,2,1.9,2.1,2.4,3,2.4,2.3,2.5,1.9,1.8,1.6,1.6,1.6,1.5,1.9,2.4,3.1,2.5,3.1,2.5
"2018/01/14","大里","CO",0.6,0.63,0.64,0.41,0.39,0.44,0.61,0.93,0.72,0.68,0.68,0.71,0.46,0.34,0.33,0.31,0.26,0.3,0.35,0.4,0.57,0.82,0.53,0.58
"2018/01/14","大里","NOx",30,27,32,16,15,18,26,42,40,41,33,33,22,17,15,13,12,13,16,20,30,43,25,29
"2018/01/14","大里","O3",2.1,2,1,12,9.2,4,2.5,2.3,6.1,13,29,47,57,58,59,59,41,36,30,24,12,1.3,4.8,3.2
"2018/01/14","大里","PM10",41,37,35,33,21,17,26,40,49,45,41,36,39,43,41,36,36,37,42,39,43,44,41,36
"2018/01/14","大里","SO2",1.7,1.6,1.6,1.3,1.3,1.4,1.4,1.9,3,6,3.3,2.8,2,2.6,1.9,2.2,1.6,1.5,1.5,1.6,1.8,2,1.6,1.4
"2018/01/15","大里","CO",0.62,0.42,0.53,0.42,0.42,0.45,0.66,1.15,1.08,0.81,1.16,0.48,0.37,0.36,0.37,0.37,0.39,0.46,0.54,0.52,0.52,0.65,0.65,0.51
"2018/01/15","大里","NOx",32,17,26,19,18,19,36,59,82,65,71,31,22,19,21,22,23,24,27,26,27,32,30,22
"2018/01/15","大里","O3",1.8,6,2.4,4.7,3.6,3.7,1.4,1.8,2.6,8.6,23,40,51,57,49,47,33,27,20,17,13,7.3,7.1,10
"2018/01/15","大里","PM10",33,33,29,22,22,28,33,33,44,54,70,65,49,40,31,44,46,54,57,58,58,58,66,71
"2018/01/15","大里","SO2",1.7,1.6,1.6,1.5,1.6,1.8,1.9,2.7,4,6.4,3.9,3.1,3.1,2.7,2.4,2,1.9,1.6,1.5,1.5,1.6,1.4,1.4,1.7
"2018/01/16","大里","CO",0.47,0.44,0.4,0.39,0.42,0.41,0.58,1.03,1,1.27,NA,0.95,0.61,0.38,0.41,0.44,0.55,0.77,1.15,1.04,1.1,1.34,1.19,0.85
"2018/01/16","大里","NOx",19,16,13,12,14,15,27,52,56,62,NA,62,52,30,41,48,59,53,89,83,83,89,67,58
"2018/01/16","大里","O3",11,10,10,15,12,12,4,1.7,3.6,11,23,24,26,38,20,15,6.2,4.1,1.1,0.9,0.9,0.8,0.9,0.7
"2018/01/16","大里","PM10",66,53,44,41,45,47,50,49,56,64,NA,72,84,70,72,79,100,118,124,131,128,122,102,84
"2018/01/16","大里","SO2",1.4,1.7,1.3,1.2,1.3,1.5,1.5,3.1,3.9,3.1,2.9,3.1,3.6,2.9,3.6,4.9,6,3.7,4.5,4,4.6,5.1,3.9,3.6
"2018/01/17","大里","CO",0.64,0.7,0.64,0.6,0.64,0.68,0.84,1.18,1.27,1.18,NA,NA,NA,NA,NA,0.55,0.63,0.76,0.92,1.28,0.97,0.83,0.79,0.72
"2018/01/17","大里","NOx",40,40,34,32,35,37,49,62,66,63,NA,NA,NA,NA,NA,NA,NA,36,42,57,50,39,36,33
"2018/01/17","大里","O3",1.2,0.9,1.7,1.1,0.8,1,1.2,1.4,3.6,8.8,NA,NA,NA,37,37,37,43,37,22,6.4,7.2,10,9.1,7.6
"2018/01/17","大里","PM10",66,57,43,40,42,57,53,60,58,59,59,NA,54,58,62,74,97,112,127,120,124,126,131,121
"2018/01/17","大里","SO2",2.7,2.3,2.1,2.1,2.3,2.5,3.2,4.2,4.3,4,NA,NA,NA,NA,NA,2.5,2.7,2.8,2.9,2.9,2.4,2.2,2.2,2.1
"2018/01/18","大里","CO",0.72,0.7,0.65,0.69,0.73,0.55,0.53,0.68,0.87,0.82,0.92,0.87,0.63,0.5,0.47,0.45,0.57,0.71,0.8,0.85,0.72,0.77,0.86,0.73
"2018/01/18","大里","NOx",36,39,37,38,38,33,34,38,43,40,47,40,29,32,26,24,30,34,37,38,33,36,40,35
"2018/01/18","大里","O3",3.1,1.1,0.7,0.6,0.8,0.8,0.9,3.1,6.1,12,17,34,50,49,49,44,31,20,12,8.8,10,6,1.6,2.1
"2018/01/18","大里","PM10",120,110,103,98,102,103,87,71,56,59,60,64,71,81,81,71,72,80,75,63,54,57,70,77
"2018/01/18","大里","SO2",2.3,2.8,2.9,3,3.3,3,3.4,3.6,3.8,3.5,3.9,3.5,3,3.1,2.8,2.7,2.8,2.8,2.9,2.9,2.8,2.9,2.8,2.8
"2018/01/19","大里","CO",0.61,0.42,0.37,0.32,0.32,0.31,0.37,0.58,0.61,0.58,0.59,0.6,0.53,0.55,0.51,0.54,0.6,0.56,0.65,0.64,0.91,0.59,0.61,0.6
"2018/01/19","大里","NOx",30,19,16,12,13,13,16,31,32,36,38,40,33,34,34,39,39,31,31,31,56,48,42,37
"2018/01/19","大里","O3",3.7,9,12,18,17,23,20,15,19,18,19,22,28,25,24,19,16,14,11,9.7,1.1,1.4,1.7,2.9
"2018/01/19","大里","PM10",85,76,70,54,41,35,31,28,23,20,32,32,36,28,24,26,29,30,30,22,27,40,56,65
