"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/12","µæ¼d","PM10",28,28,32,37,35,33,35,42,47,46,53,57,56,57,57,58,56,53,51,45,41,35,30,28
"2018/01/12","µæ¼d","SO2",NA,1,1.3,1.7,1.4,1.4,1.3,3.3,2.5,2.1,2.2,2.3,2.1,2.1,1.8,2,1.7,1.4,1.3,1.3,1,1,1.2,1.5
"2018/01/13","µæ¼d","CO",NA,0.34,0.29,0.23,0.29,0.32,0.55,0.94,0.81,0.43,0.28,0.26,0.26,0.24,0.24,0.25,0.27,0.32,0.36,0.39,0.36,0.39,0.37,0.33
"2018/01/13","µæ¼d","NOx",NA,18,15,11,14,16,34,54,47,23,14,11,11,13,13,12,16,18,19,21,22,24,24,21
"2018/01/13","µæ¼d","O3",15,22,24,28,22,21,7.9,5.7,12,28,33,36,35,33,34,33,30,27,24,22,21,19,19,21
"2018/01/13","µæ¼d","PM10",27,25,21,19,18,19,22,28,29,26,25,21,17,20,19,16,17,20,19,19,19,19,20,20
"2018/01/13","µæ¼d","SO2",NA,2,1.8,2,2.5,2.4,1.9,2.3,2.3,4.4,4.1,2.6,4.9,5.3,4,2.4,5.8,3.5,1.9,1.7,1.9,2.1,2.1,2.1
"2018/01/14","µæ¼d","CO",NA,NA,0.23,0.29,0.39,0.37,0.57,0.85,0.98,0.43,0.33,0.28,0.26,0.23,0.24,0.27,0.29,0.4,0.52,0.61,0.57,0.51,0.56,0.5
"2018/01/14","µæ¼d","NOx",NA,NA,9.5,13,17,18,31,48,54,21,13,12,10,9,11,13,15,22,28,38,39,32,34,29
"2018/01/14","µæ¼d","O3",25,26,31,27,22,16,8.1,6.2,13,29,36,38,39,39,38,36,34,24,18,12,11,17,14,18
"2018/01/14","µæ¼d","PM10",20,17,15,14,16,16,14,15,20,28,26,21,20,17,14,11,12,13,14,17,12,10,15,14
"2018/01/14","µæ¼d","SO2",NA,NA,1.3,1.2,1.8,1.3,1.2,1.6,2,1.6,1.3,2.1,4.2,2.8,2.2,1.3,1.7,6.6,3,2.6,2.2,2.2,2.3,1.8
"2018/01/15","µæ¼d","CO",0.38,0.28,0.29,0.37,0.29,0.31,0.49,1.2,1.56,1.21,0.93,0.28,0.26,0.25,0.25,0.28,0.37,0.5,0.66,0.69,0.63,0.64,0.73,1.18
"2018/01/15","µæ¼d","NOx",21,16,15,19,19,20,42,78,85,74,78,15,14,13,12,11,15,19,35,37,34,36,41,68
"2018/01/15","µæ¼d","O3",23,26,26,18,12,11,4.3,3.6,5.7,9.1,16,34,35,37,37,36,32,26,12,11,12,11,7.3,2.9
"2018/01/15","µæ¼d","PM10",14,16,15,12,13,15,14,20,28,32,34,28,22,21,22,23,24,24,23,22,21,21,21,22
"2018/01/15","µæ¼d","SO2",1.9,1.6,1.7,2,3.3,3.6,3.5,4.9,3.8,3.4,5.3,3.5,3.6,3.1,2.3,1.6,1.7,1.6,2.3,2.3,2.4,2.2,2.2,3.3
"2018/01/16","µæ¼d","CO",1.41,0.89,0.68,0.54,0.37,0.36,1.31,1.59,1.29,0.89,0.67,0.63,0.73,0.56,0.38,0.32,0.51,0.94,1.5,1.49,1.87,1.16,1.07,0.84
"2018/01/16","µæ¼d","NOx",83,60,50,41,27,24,86,87,65,49,40,41,43,38,32,27,36,64,83,103,116,63,58,46
"2018/01/16","µæ¼d","O3",2.5,2,2.5,2.1,5.7,7.9,2.8,3.4,8,18,31,44,56,41,26,24,15,3,2.7,2.6,2.6,4.6,2.6,3.3
"2018/01/16","µæ¼d","PM10",32,40,40,39,36,38,42,44,40,37,41,47,50,53,58,54,50,59,64,55,59,58,45,32
"2018/01/16","µæ¼d","SO2",4.8,6.4,8.9,9.2,6.8,6.8,5.6,4.7,3.1,3.2,3.9,3.5,3.5,4.6,4.8,4.2,3.7,4.9,5.5,9.1,6.6,3,2.9,3.1
"2018/01/17","µæ¼d","CO",0.73,0.73,0.94,0.51,0.4,0.28,0.26,0.53,0.86,0.81,NA,NA,0.39,0.3,0.33,0.36,0.38,0.49,0.56,0.53,0.45,0.45,0.38,0.31
"2018/01/17","µæ¼d","NOx",36,37,56,32,26,18,16,31,40,46,NA,NA,22,15,16,18,18,22,23,21,18,15,14,12
"2018/01/17","µæ¼d","O3",7,6,2.4,7.4,10,18,19,11,10,13,NA,NA,35,45,46,43,41,34,30,29,29,32,33,34
"2018/01/17","µæ¼d","PM10",23,28,38,51,57,58,56,47,48,56,NA,38,39,39,37,45,51,46,48,50,50,46,38,35
"2018/01/17","µæ¼d","SO2",2.7,3.1,3.9,4.2,4.3,3.8,2.9,3.4,3.1,2.9,NA,NA,5.5,6.3,2,1.3,2.6,5.4,6.4,4.9,2.8,1.1,1.8,2.3
"2018/01/18","µæ¼d","CO",0.26,0.22,0.21,0.21,0.22,0.25,0.33,0.54,0.49,0.42,0.37,0.37,0.34,0.31,0.31,0.35,0.44,0.57,0.68,0.77,0.55,0.48,0.51,0.44
"2018/01/18","µæ¼d","NOx",10,10,9.2,8,9.9,10,18,24,21,19,18,17,16,15,15,19,25,27,25,29,21,17,17,15
"2018/01/18","µæ¼d","O3",35,35,35,36,33,31,25,23,29,31,32,34,35,35,35,31,25,22,24,21,27,32,32,33
"2018/01/18","µæ¼d","PM10",32,30,32,30,30,28,25,29,30,24,26,29,27,25,24,23,21,21,18,11,10,12,12,10
"2018/01/18","µæ¼d","SO2",3.7,7.1,6.2,6.5,8.1,7.8,9.7,7.5,6.7,7.4,9.1,9.1,9.1,10,8.3,12,15,14,4.6,2.6,2.2,2.1,2.1,2.4
"2018/01/19","µæ¼d","CO",0.4,0.37,0.26,0.22,0.22,0.24,0.4,0.87,0.82,0.84,0.64,0.55,0.62,0.6,0.64,0.57,0.73,0.9,0.91,0.65,0.58,0.54,0.55,0.53
"2018/01/19","µæ¼d","NOx",12,19,10,6,5.3,6.9,23,41,39,43,36,35,33,32,33,31,39,43,38,26,22,21,21,22
"2018/01/19","µæ¼d","O3",33,24,33,44,45,42,27,15,18,16,21,21,22,24,23,24,18,13,17,27,29,27,26,24
"2018/01/19","µæ¼d","PM10",9,15,16,12,10,9,7,11,15,18,20,18,23,29,34,39,41,38,34,36,44,51,57,52
"2018/01/19","µæ¼d","SO2",1.9,2,2.1,1.6,1.6,1.5,1.8,2,2,2.2,2.3,2.3,2.1,2.2,2,2,2,2.2,2.2,2.7,3,4.7,4.7,5.9
"2018/01/20","µæ¼d","CO",0.44,0.4,0.38,0.4,0.42,0.41,0.46,0.55,0.57,0.55,0.59,0.57,0.52,0.51,0.51,0.53,0.58,0.63,0.64,0.57,0.58,0.54,0.52,0.46
"2018/01/20","µæ¼d","NOx",16,9.7,8.8,8.3,8.4,8.5,11,19,21,36,43,33,27,25,26,28,26,25,25,21,21,16,15,15
"2018/01/20","µæ¼d","O3",30,36,37,36,39,42,40,34,32,24,22,30,33,34,33,30,29,28,27,30,31,36,38,36
"2018/01/20","µæ¼d","PM10",40,28,19,21,21,19,24,27,34,44,42,42,52,56,54,49,38,31,30,32,30,21,13,19
"2018/01/20","µæ¼d","SO2",3.5,1.6,1.7,1.6,1.5,1.4,1.5,1.5,2.8,4.3,6.2,7.6,10,11,9.3,10,9.3,7.8,7.9,5.8,4.3,2.8,3.1,6.2
"2018/01/21","µæ¼d","CO",0.44,0.38,0.35,0.35,0.34,0.37,0.45,0.54,0.6,0.52,0.46,0.45,0.44,0.39,0.38,0.41,0.41,0.47,0.57,0.75,1.1,1.13,0.5,0.45
"2018/01/21","µæ¼d","NOx",15,12,9.7,9.2,9.2,9,13,16,19,18,16,18,25,26,21,21,19,17,22,34,54,54,26,19
"2018/01/21","µæ¼d","O3",36,38,40,39,39,39,36,33,32,33,35,35,31,29,30,30,30,30,24,16,3.9,3.9,16,21
"2018/01/21","µæ¼d","PM10",28,32,32,25,18,18,13,13,15,16,18,20,21,23,27,26,22,22,22,22,33,44,47,48
"2018/01/21","µæ¼d","SO2",5.9,5.3,3.3,3.1,2,1.7,1.4,1.5,1.6,4.2,2.2,1.7,1.6,1.9,1.7,2,2.3,2,2.3,3.5,4.6,4.3,3.6,2
"2018/01/22","µæ¼d","CO",0.33,0.29,0.31,0.31,0.32,0.35,0.4,0.56,0.54,0.48,0.48,NA,0.71,0.68,0.65,0.62,0.6,0.67,0.63,0.63,0.5,0.47,0.39,0.35
"2018/01/22","µæ¼d","NOx",12,5.6,5.9,6.7,7.7,12,16,20,18,18,18,NA,20,17,18,19,19,17,15,19,15,15,14,12
"2018/01/22","µæ¼d","O3",30,37,35,32,29,25,23,24,28,29,31,27,NA,38,46,41,40,42,42,36,38,38,38,40
"2018/01/22","µæ¼d","PM10",45,37,35,46,57,63,63,61,57,48,42,NA,42,43,39,34,35,31,27,31,31,32,35,33
"2018/01/22","µæ¼d","SO2",2.1,1,1,1.5,1.7,1.8,2,2.1,1.9,1.6,1.5,NA,NA,1.3,1,0.8,1,0.9,1,1.1,1.2,1.3,2.9,1.9
"2018/01/23","µæ¼d","CO",0.29,0.27,0.24,0.22,0.23,0.25,0.33,0.56,0.52,0.38,0.31,0.31,0.34,0.31,0.34,0.35,0.38,0.42,0.42,0.37,0.35,0.36,0.36,0.36
"2018/01/23","µæ¼d","NOx",9.1,7.6,6.7,6.4,7.1,7,18,27,26,23,18,17,23,23,27,21,26,15,13,12,10,10,10,9.7
"2018/01/23","µæ¼d","O3",41,41,43,42,42,40,31,27,30,34,37,38,35,35,31,32,29,36,38,40,41,41,41,41
"2018/01/23","µæ¼d","PM10",30,28,28,27,25,27,29,35,39,38,37,32,35,42,41,36,35,29,21,19,19,24,29,30
"2018/01/23","µæ¼d","SO2",2.8,3,3.7,4.2,3.7,3.2,4.5,3.5,3.2,2.2,2.5,3,2.3,1.9,2.1,1.9,2,1.7,1.7,1.6,1.8,1.8,1.5,1.7
"2018/01/24","µæ¼d","CO",0.31,0.3,0.29,0.31,0.33,0.39,0.46,0.63,0.66,0.55,0.47,0.47,0.43,0.42,0.42,0.43,0.43,0.51,0.51,0.49,0.46,0.43,0.41,0.34
"2018/01/24","µæ¼d","NOx",7.8,6.3,5.8,4.5,6.2,6.3,13,21,24,23,20,20,16,18,20,22,18,20,18,16,15,13,12,8.8
"2018/01/24","µæ¼d","O3",41,42,44,45,42,40,34,29,30,33,35,36,38,35,32,29,30,28,29,31,32,34,34,37
"2018/01/24","µæ¼d","PM10",31,37,39,37,39,43,50,55,60,63,60,52,50,48,47,45,39,31,28,28,27,29,28,22
"2018/01/24","µæ¼d","SO2",2.4,1.8,1.6,0.8,2,1.3,2.7,2.3,2.4,3.9,4,4.1,2.6,4.2,4.5,3.5,3.5,3.3,4,1.3,1.2,1.2,1.5,1.2
"2018/01/25","µæ¼d","CO",0.29,0.28,0.27,0.25,0.24,0.27,0.32,0.49,0.55,0.41,0.34,0.36,0.35,0.33,0.33,0.34,0.36,0.47,0.6,0.49,0.44,0.42,0.35,0.31
"2018/01/25","µæ¼d","NOx",6.6,7.5,7.3,8.6,7.9,8.4,12,21,23,22,18,16,14,14,15,17,17,21,28,25,22,20,15,14
"2018/01/25","µæ¼d","O3",38,38,37,36,37,36,32,27,28,30,33,34,35,34,33,30,29,25,19,22,22,24,28,27
"2018/01/25","µæ¼d","PM10",24,27,21,16,13,14,14,13,19,27,24,15,13,17,23,29,30,27,29,31,26,18,13,12
"2018/01/25","µæ¼d","SO2",1,3,3,4.9,4,3.1,3.3,5,3.6,4.1,3.5,1.8,1.4,1.4,1.5,1.6,2.1,2,4.5,5.5,4.4,5.6,3.4,5.1
"2018/01/26","µæ¼d","CO",0.27,0.24,0.22,0.22,0.23,0.27,0.26,0.53,0.5,0.35,0.32,0.28,0.29,0.29,0.27,0.3,0.35,0.44,0.45,0.39,0.34,0.33,0.31,0.27
"2018/01/26","µæ¼d","NOx",12,9.4,8,7.5,6.1,7.5,11,23,18,14,12,10,11,11,11,13,16,19,19,16,15,14,13,11
"2018/01/26","µæ¼d","O3",29,30,31,31,32,30,28,19,25,29,30,33,34,33,32,29,27,24,24,26,27,27,28,30
"2018/01/26","µæ¼d","PM10",15,17,12,10,11,10,5,6,8,8,9,11,10,9,11,12,9,8,8,7,11,13,15,15
"2018/01/26","µæ¼d","SO2",5.6,4.9,4.2,4.3,1.8,1.4,1,2,1.2,1.2,1.1,1.2,1.1,1.1,1.2,1.1,1,1.3,2.3,1.9,3.5,2.9,3.3,3
