"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/20","¼é¦{","NOx",13,9.1,8.8,8.3,8.6,10,35,34,27,20,21,17,13,11,12,9,12,10,10,8.5,14,15,18,14
"2018/01/20","¼é¦{","O3",12,17,13,20,21,12,1.7,3.3,13,32,44,73,87,78,76,68,65,58,53,52,46,40,28,15
"2018/01/20","¼é¦{","PM10",102,100,88,82,72,75,76,82,92,101,113,131,130,129,112,103,101,99,106,113,119,127,131,121
"2018/01/20","¼é¦{","SO2",1.1,1.9,1.7,1.9,5.8,12,6,3.8,3.8,4.9,5.3,5.9,4.1,4.2,4.7,3.3,3.4,2.9,2.7,2.8,2.9,3.3,2.6,1.9
"2018/01/21","¼é¦{","CO",0.49,0.44,0.42,0.4,0.5,0.6,0.61,0.56,0.55,0.56,0.56,0.5,0.44,0.49,0.56,0.75,0.55,0.53,0.53,0.51,0.5,0.51,0.52,0.51
"2018/01/21","¼é¦{","NOx",9.8,10,13,12,12,17,18,15,11,11,13,10,9,11,14,22,16,15,13,15,14,15,14,9.4
"2018/01/21","¼é¦{","O3",12,7.1,4.5,5.4,6.4,3.2,2.1,6.9,16,25,45,57,64,77,81,68,63,68,60,51,46,32,31,31
"2018/01/21","¼é¦{","PM10",104,77,67,65,76,101,120,126,123,130,150,155,146,143,146,161,155,152,140,139,138,139,136,134
"2018/01/21","¼é¦{","SO2",1.8,1.6,1.5,1.7,1.8,1.9,1.8,1.9,2,2.7,3.7,3.8,3.7,4.5,5.3,8.8,4.6,3.9,3.7,4,3.1,2.5,2,2
"2018/01/22","¼é¦{","CO",0.52,0.54,0.54,0.45,0.42,0.41,0.45,0.5,0.51,0.44,0.34,0.24,0.23,0.3,0.3,0.3,0.33,0.37,0.36,0.43,0.63,0.58,0.53,0.55
"2018/01/22","¼é¦{","NOx",9.4,12,14,12,8.6,8,8.7,12,14,15,11,8.4,7.2,11,11,11,12,12,14,15,31,25,21,19
"2018/01/22","¼é¦{","O3",28,24,13,18,19,15,13,10,11,24,37,41,50,62,60,58,60,57,49,45,20,22,23,24
"2018/01/22","¼é¦{","PM10",135,141,141,132,110,101,93,104,100,96,64,42,27,47,64,80,85,92,99,92,101,108,120,117
"2018/01/22","¼é¦{","SO2",2.5,1.9,1.4,1.4,1.3,1.1,1,1.1,1.1,1.3,1.3,1.2,1.4,3,4.1,2.7,2.9,2.7,2.6,2.6,3.2,3,3.2,3
"2018/01/23","¼é¦{","CO",0.56,0.55,0.58,0.67,0.69,0.73,0.75,0.86,0.88,0.8,0.78,0.7,0.69,0.78,0.61,0.47,0.49,0.45,0.45,0.4,0.41,0.44,0.46,0.44
"2018/01/23","¼é¦{","NOx",17,16,17,17,17,19,20,26,32,27,27,23,22,26,19,13,13,13,13,15,19,17,18,20
"2018/01/23","¼é¦{","O3",22,21,19,18,16,10,7.2,7.2,14,27,48,70,94,98,91,86,86,79,73,63,46,32,20,12
"2018/01/23","¼é¦{","PM10",116,108,107,100,101,96,97,101,102,121,134,149,147,149,139,113,95,87,89,88,94,104,105,94
"2018/01/23","¼é¦{","SO2",2.2,2.5,2.3,2.6,2.3,2.3,2.4,2.7,3.5,4.1,6.1,5.5,5.7,8.8,7.4,5.7,4.8,4,3.2,3.8,3,2.5,2.2,1.9
