"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/11","ªO¾ô","PM10",26,26,23,21,18,20,26,30,35,41,45,64,65,46,45,47,46,45,42,39,40,37,36,32
"2018/01/11","ªO¾ô","SO2",1.2,1.6,1.5,1.4,1.5,1.5,1.6,2.2,2.3,2.5,2.1,2.1,1.9,1.8,1.7,1.8,1.8,2.1,3,3.3,2,1.9,2.4,1.9
"2018/01/12","ªO¾ô","CO",0.37,0.27,0.26,0.46,0.51,0.35,0.37,0.65,0.8,0.46,0.34,0.35,0.34,0.38,0.4,0.4,0.39,0.53,0.6,0.6,0.58,0.6,0.49,0.36
"2018/01/12","ªO¾ô","NOx",19,11,11,24,27,21,31,47,51,25,17,15,13,17,16,18,18,24,29,33,35,38,26,19
"2018/01/12","ªO¾ô","O3",28,31,29,13,12,17,12,7.8,13,25,37,39,43,41,42,41,42,34,27,19,16,13,19,25
"2018/01/12","ªO¾ô","PM10",28,28,24,24,26,26,24,26,34,39,46,52,54,57,57,54,55,53,50,46,40,35,31,30
"2018/01/12","ªO¾ô","SO2",1.9,1.8,1.8,1.5,1.7,1.8,2,2.8,2.8,2.7,2.2,2.3,2.5,2.2,2.2,1.9,2,2,2.8,1.7,1.8,2.6,1.4,1.1
"2018/01/13","ªO¾ô","CO",0.32,0.29,0.27,0.22,0.21,0.22,0.29,0.38,0.43,0.4,0.33,NA,0.28,0.27,0.26,0.26,0.3,0.39,0.43,0.4,0.36,0.36,0.35,0.36
"2018/01/13","ªO¾ô","NOx",15,13,12,9.2,7.4,11,20,27,30,26,23,NA,NA,16,16,16,19,21,25,23,23,21,19,20
"2018/01/13","ªO¾ô","O3",28,28,26,27,27,23,17,14,17,25,NA,34,35,34,33,33,31,27,22,23,23,24,26,25
"2018/01/13","ªO¾ô","PM10",31,27,19,14,15,17,18,20,21,21,NA,30,24,17,18,21,22,17,13,13,13,15,16,19
"2018/01/13","ªO¾ô","SO2",1,1.2,1.2,2.2,2.7,2.1,2,1.8,1.6,1.4,1.3,NA,2.2,1.3,2.1,3.2,2.2,1.9,2.6,3.7,1.3,1.2,1.7,2.4
"2018/01/14","ªO¾ô","CO",0.29,0.25,0.21,0.29,0.19,0.17,0.25,0.33,0.44,0.36,0.28,0.26,0.25,0.27,0.28,0.25,0.3,0.39,0.59,0.59,0.59,0.86,0.68,0.68
"2018/01/14","ªO¾ô","NOx",15,13,11,15,11,9.9,19,24,29,22,15,14,14,15,17,15,19,25,36,39,43,55,42,41
"2018/01/14","ªO¾ô","O3",30,28,31,26,29,27,19,18,19,30,37,39,41,39,37,38,33,24,15,14,12,4.3,7.6,13
"2018/01/14","ªO¾ô","PM10",19,11,8,13,14,12,11,10,15,21,20,17,17,13,13,17,16,15,19,21,18,19,17,14
"2018/01/14","ªO¾ô","SO2",3.4,1.4,2.1,2.3,3.1,2.1,2.8,2.1,1.2,0.3,0.2,0.5,0.8,2.2,3.2,1.8,3.9,5.6,2.4,1.1,1.6,0.9,0.7,0.9
"2018/01/15","ªO¾ô","CO",0.78,0.71,0.53,0.29,0.21,0.24,0.42,0.99,1.79,1.59,1.3,NA,0.33,0.33,0.32,NA,0.45,0.64,0.8,0.71,0.61,1.42,1.14,0.69
"2018/01/15","ªO¾ô","NOx",43,35,24,13,7.6,14,36,89,118,99,85,NA,NA,NA,17,NA,30,33,36,42,37,84,72,45
"2018/01/15","ªO¾ô","O3",6.7,9.7,18,17,20,13,3.7,3.1,3.9,8.2,15,29,NA,NA,NA,NA,NA,18,16,12,13,4.7,2.3,2.6
"2018/01/15","ªO¾ô","PM10",17,15,10,14,14,13,17,28,42,45,47,36,NA,25,22,19,20,23,22,24,23,21,35,41
"2018/01/15","ªO¾ô","SO2",0.7,1.4,1.3,1.7,1.4,2,3.2,4.9,6.6,4.8,4.1,NA,NA,0.9,1,NA,1.1,1,1.1,2.8,3.2,4.4,5.4,5.9
"2018/01/16","ªO¾ô","CO",0.61,0.41,0.39,0.35,0.31,0.37,0.63,1.47,1.83,1.45,0.58,NA,0.6,0.68,0.74,0.6,0.85,1.62,2.51,2.59,1.51,2.12,1.99,1.65
"2018/01/16","ªO¾ô","NOx",37,27,27,26,20,24,53,111,107,86,NA,NA,32,34,52,50,59,90,129,129,75,121,121,89
"2018/01/16","ªO¾ô","O3",2.3,3.3,2.9,3.4,7.8,5.7,2.7,2.9,5.6,14,33,43,73,96,33,15,7,3.1,2.5,2.4,2.4,2.4,2.2,2
"2018/01/16","ªO¾ô","PM10",36,34,28,24,31,34,31,38,45,50,53,48,53,63,79,84,73,73,81,86,69,63,74,68
"2018/01/16","ªO¾ô","SO2",4.5,5.5,5.6,6.3,6,4.1,4.7,5.8,5,5.4,5.6,NA,5.7,7.9,4.6,4.6,4.8,6.5,6.2,5.8,3.7,6,8.7,7.5
"2018/01/17","ªO¾ô","CO",1.42,1.03,0.99,0.78,0.69,0.71,0.36,0.53,0.76,0.98,0.47,0.48,0.45,0.37,0.35,0.33,0.36,0.5,0.6,0.61,0.54,0.57,0.47,0.36
"2018/01/17","ªO¾ô","NOx",72,54,60,55,51,50,22,23,36,57,30,28,21,23,20,19,20,25,27,26,23,23,16,13
"2018/01/17","ªO¾ô","O3",2,1.9,2,1.9,1.9,3.2,12,14,11,11,23,29,39,42,45,48,45,37,31,29,28,27,33,37
"2018/01/17","ªO¾ô","PM10",51,41,43,47,50,52,71,73,59,63,56,44,39,36,39,48,55,55,57,57,52,47,40,35
"2018/01/17","ªO¾ô","SO2",4.5,3.8,5.4,11,11,9.4,5.6,4.2,NA,3.4,2.3,3.3,4,11,8.8,6.4,NA,2.5,1.9,NA,NA,NA,NA,NA
"2018/01/18","ªO¾ô","CO",0.28,0.2,0.19,0.18,0.19,0.2,0.28,0.49,0.54,0.39,0.31,0.33,0.38,0.37,0.36,0.37,0.41,0.65,0.64,0.53,0.48,0.4,0.4,0.34
"2018/01/18","ªO¾ô","NOx",9.5,9.2,9.1,8.2,8.6,8.6,14,23,26,21,18,19,21,20,20,22,24,34,35,31,27,21,21,19
"2018/01/18","ªO¾ô","O3",40,43,42,43,42,41,36,30,30,37,40,41,39,39,39,35,31,23,21,22,27,34,34,35
"2018/01/18","ªO¾ô","PM10",33,33,31,30,31,26,22,25,24,20,19,17,16,15,21,25,25,21,19,19,14,12,13,15
"2018/01/18","ªO¾ô","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.8,1.8,1.7,1.7,2.4,2,1.7,1.8,6.7,7.3,2,1.9,4.9,7.2
"2018/01/19","ªO¾ô","CO",0.3,0.3,0.3,0.26,0.26,0.3,0.41,0.76,0.88,0.67,0.52,0.49,0.52,0.5,0.48,0.5,0.57,0.69,NA,0.62,0.57,0.61,0.64,0.53
"2018/01/19","ªO¾ô","NOx",14,9.4,8.6,4.6,4.2,6.7,18,35,41,37,33,26,30,26,25,25,31,35,NA,24,22,23,24,19
"2018/01/19","ªO¾ô","O3",38,39,38,46,49,44,31,20,18,20,24,28,27,31,32,31,27,24,28,NA,30,28,27,30
