"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/14","获","O3",15,16,8.9,21,22,23,18,13,21,37,44,46,53,57,54,55,52,44,36,27,13,9.3,7.7,4.6
"2018/01/14","获","PM10",87,87,87,79,71,68,68,58,53,56,64,63,60,71,73,75,71,74,76,80,84,87,83,81
"2018/01/14","获","SO2",3.6,3,1.9,1.2,1,2.1,1.9,1.7,1.8,3,5.2,5.6,2.9,2.6,3.1,3.4,4.9,4.8,2.8,3.3,4.2,3.2,2.1,2.1
"2018/01/15","获","CO",0.37,0.36,0.35,0.34,0.32,0.39,0.63,1.05,0.91,0.64,0.69,0.7,0.65,0.59,0.63,0.6,0.78,0.88,1.31,1.15,0.51,0.53,0.68,0.6
"2018/01/15","获","NOx",28,26,20,19,12,12,26,63,67,52,57,50,38,34,32,27,43,35,52,63,27,30,39,38
"2018/01/15","获","O3",5,5,8.1,10,18,17,7.8,3.9,9.4,18,47,44,40,47,51,50,39,32,13,4.3,19,14,5.6,3.6
"2018/01/15","获","PM10",86,95,94,85,62,51,43,53,58,63,70,82,91,98,102,105,114,114,125,122,111,102,89,99
"2018/01/15","获","SO2",0.9,1.2,1.7,2.9,2.6,1.6,1.9,4.4,8,7.7,7.7,5.4,3.5,4.1,3.9,3.2,3.6,2.9,4.2,5.3,3,3.4,2.9,3.3
"2018/01/16","获","CO",0.51,0.4,0.36,0.38,0.38,0.4,0.45,0.7,0.8,0.57,0.49,0.5,0.51,0.4,0.33,0.44,0.74,1.17,0.85,0.87,0.68,0.67,0.6,0.53
"2018/01/16","获","NOx",29,24,20,27,29,28,29,44,51,42,35,33,31,27,19,27,40,56,44,57,51,49,33,30
"2018/01/16","获","O3",5.6,5.1,6,1.7,1.4,2,1.8,3.1,7.6,17,30,39,42,45,44,38,25,10,14,3.4,2.5,2.9,9,9.5
"2018/01/16","获","PM10",98,98,87,75,68,70,77,88,97,99,91,78,79,82,76,68,70,91,103,103,91,88,77,79
