"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/11","窾地","SO2",1.6,0.8,0.9,0.6,0.4,0.3,0.5,0.9,2.2,2.3,1.7,1.2,0.9,0.7,0.6,0.5,0.5,0.7,0.7,0.6,0.4,0.5,0.3,0.4
"2018/01/12","窾地","CO",0.62,0.48,0.34,0.25,0.25,0.26,0.39,0.71,0.95,0.42,0.39,0.36,0.36,0.39,0.39,0.42,0.42,0.52,0.6,0.52,0.46,0.46,0.48,0.36
"2018/01/12","窾地","NOx",36,24,17,12,10,13,33,61,70,31,27,21,20,24,20,25,28,35,42,38,38,35,36,24
"2018/01/12","窾地","O3",8.1,14,18,18,20,16,6,1.7,5.5,21,24,31,34,32,35,32,30,22,14,13,12,12,12,18
"2018/01/12","窾地","PM10",37,35,26,19,6,13,10,14,17,34,46,51,52,59,65,66,56,45,38,40,38,33,29,25
"2018/01/12","窾地","SO2",1.5,1.9,1.8,1.8,1.8,1.7,1.9,2.5,3.6,3.2,3.1,2.8,2.6,2.4,2.4,2.3,2.1,1.9,2,2,2.1,2.9,3.4,2.5
"2018/01/13","窾地","CO",0.34,0.26,0.26,0.28,0.27,0.26,0.34,0.51,0.59,0.34,0.27,0.23,0.24,0.25,0.25,0.26,0.25,0.33,0.36,0.42,0.39,0.38,0.36,0.35
"2018/01/13","窾地","NOx",17,12,12,15,14,16,24,44,49,33,24,19,18,20,21,24,22,28,30,38,36,33,28,26
"2018/01/13","窾地","O3",24,26,25,24,24,17,11,5.5,10,18,27,29,30,29,28,24,26,20,17,11,12,13,19,20
"2018/01/13","窾地","PM10",29,25,26,26,27,20,12,11,18,25,26,30,21,19,7,13,10,18,21,21,24,24,23,27
"2018/01/13","窾地","SO2",1.5,0.5,0.3,0.3,0.8,0.4,0.3,0.7,1.3,1.6,2,3.4,1.6,1.6,2.5,4,0.7,0.5,0.6,1.1,1,1.2,1,1.1
"2018/01/14","窾地","CO",0.34,0.3,0.27,0.24,0.23,0.26,0.37,0.56,0.56,0.33,0.24,0.24,0.25,0.26,0.26,0.25,0.31,0.39,0.41,0.49,0.49,0.51,0.5,0.47
"2018/01/14","窾地","NOx",20,13,12,12,9.7,14,29,54,55,29,19,18,18,20,19,19,28,36,36,43,45,42,38,34
"2018/01/14","窾地","O3",23,27,27,26,29,19,8.4,0.6,11,22,30,33,33,32,32,32,24,14,13,8.6,7.6,9,12,12
"2018/01/14","窾地","PM10",22,18,7,7,8,10,15,20,19,13,13,17,16,16,11,9,5,13,19,24,14,13,10,13
"2018/01/14","窾地","SO2",1.2,1.7,1.8,1.9,1.8,1.6,1.7,2.3,3,2.4,2.2,2.3,4.7,5.9,4.2,2.6,5.6,6.4,4.1,4.3,4.1,3.6,3.9,3.4
"2018/01/15","窾地","CO",0.42,0.32,0.29,0.32,0.36,0.3,0.43,0.6,1.07,1.7,1,0.34,0.31,0.31,0.34,0.37,0.37,0.52,0.68,0.69,0.61,0.57,0.73,1.31
"2018/01/15","窾地","NOx",26,17,15,17,17,16,36,47,65,110,77,29,24,23,27,29,30,40,48,51,50,42,54,83
"2018/01/15","窾地","O3",17,23,25,20,14,12,3.6,2.4,1.5,3.2,14,20,25,27,25,23,21,12,6.5,4,5.2,8.3,3.6,0.5
"2018/01/15","窾地","PM10",16,14,16,16,20,26,16,11,10,12,NA,16,9,12,14,21,27,26,31,27,26,20,17,20
"2018/01/15","窾地","SO2",2.5,2,2,2,1.6,1.7,1.8,2,2.8,4.2,5.9,3.8,3.1,2.8,2.1,1.7,2,2.1,2.7,3.2,3.4,3.1,3.1,3.3
"2018/01/16","窾地","CO",1.45,1.36,0.99,0.6,0.39,0.58,0.63,0.77,0.95,0.94,0.72,0.73,0.77,0.75,0.74,0.62,0.84,1.45,2.5,1.49,1.4,0.85,0.7,0.67
"2018/01/16","窾地","NOx",82,82,64,42,29,44,53,62,63,55,39,39,42,42,54,46,60,90,154,118,96,48,40,37
"2018/01/16","窾地","O3",0,-0.2,0.1,0.3,3.2,0.7,0.4,1,4,12,28,41,58,69,24,17,7.3,0.9,0.3,-0.1,1,6.9,9.7,8.9
"2018/01/16","窾地","PM10",31,32,27,16,14,19,23,24,24,27,36,38,37,36,48,49,53,47,59,60,70,51,47,27
"2018/01/16","窾地","SO2",4.6,4.6,5.2,5,4.3,4,3.9,2.9,2.7,2.7,3.3,3,3.2,2.7,3.8,4,4,4.3,8.5,11,6.7,4.5,3.5,2.9
"2018/01/17","窾地","CO",0.57,0.45,0.51,0.93,0.88,0.68,0.41,0.64,0.91,0.65,0.42,0.34,0.37,0.35,0.38,0.4,0.37,0.46,0.58,0.56,0.51,0.48,0.44,0.34
"2018/01/17","窾地","NOx",28,18,25,53,52,40,25,32,52,53,33,23,28,28,29,29,27,33,36,34,29,23,22,16
"2018/01/17","窾地","O3",13,15,7.5,0.1,0.4,4.9,11,7.5,5.1,8.3,20,29,31,37,35,38,37,29,24,22,21,27,29,33
"2018/01/17","窾地","PM10",28,15,16,20,28,36,40,46,47,46,46,43,40,32,36,45,58,54,46,42,40,41,40,40
"2018/01/17","窾地","SO2",1.1,1.2,0.7,2.3,3.7,4.2,3.3,2.2,2.3,2.5,1.9,2.6,4.8,8.5,5.4,5.3,7.5,5.4,4.1,1.3,0.7,0.2,-0.1,-0.2
"2018/01/18","窾地","CO",0.26,0.23,0.22,0.21,0.21,0.23,0.29,0.4,0.5,0.45,0.37,0.36,0.35,0.35,0.38,0.37,0.44,0.56,0.66,0.62,0.51,0.48,0.44,0.42
"2018/01/18","窾地","NOx",11,9.6,9,8.2,9.9,9.9,19,28,34,35,28,24,22,24,25,24,29,42,43,39,30,25,20,20
"2018/01/18","窾地","O3",39,39,39,39,38,36,28,23,21,23,29,33,35,33,32,30,23,15,14,16,23,28,34,33
"2018/01/18","窾地","PM10",33,29,25,24,22,24,26,25,28,33,34,27,14,11,8,9,13,14,18,11,14,17,21,17
"2018/01/18","窾地","SO2",2.6,3.5,3.8,3.3,4.1,3.7,2.5,3.9,4.8,5.5,3.7,3.7,3.3,4.2,5.5,3.7,4.6,10,10,3.9,3,2.4,2.5,2.8
"2018/01/19","窾地","CO",0.34,0.38,0.39,0.3,0.31,0.35,0.36,0.52,0.66,0.55,0.49,0.48,0.6,0.55,0.5,0.54,0.6,0.71,0.83,0.65,0.57,0.57,0.59,0.51
"2018/01/19","窾地","NOx",12,17,19,11,10,15,21,36,45,44,38,41,50,43,38,42,50,55,56,42,37,35,35,28
"2018/01/19","窾地","O3",39,33,27,40,41,36,31,19,15,16,21,19,14,19,22,19,12,10,8.9,16,18,19,18,22
"2018/01/19","窾地","PM10",11,9,5,12,10,14,6,12,17,19,18,11,16,13,12,16,26,35,32,31,40,45,46,39
