"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/12","竹山","CO",0.31,0.34,0.34,0.31,0.29,0.34,0.39,0.41,0.32,0.25,0.23,0.27,0.27,0.22,0.25,0.28,NA,0.35,0.42,0.55,0.61,0.54,0.52,0.47
"2018/01/12","竹山","NOx",12,13,13,11,9.6,10,16,20,15,10,12,15,13,9.9,9.5,11,15,19,26,34,34,30,27,22
"2018/01/12","竹山","O3",27,14,12,12,15,11,8.8,9.2,19,21,27,38,48,56,53,51,46,36,27,13,6.4,12,11,7.8
"2018/01/12","竹山","PM10",47,44,43,39,32,33,34,37,38,34,31,34,38,38,NA,NA,59,62,66,68,66,65,60,54
"2018/01/12","竹山","SO2",1.9,1.3,2.2,1.8,1.4,1,1.3,2.9,1.7,1.3,0.7,1.5,1.1,1,1.4,1.6,1.8,2,1.7,1.6,1.1,1.6,1.4,0.7
"2018/01/13","竹山","CO",0.44,0.37,0.35,0.34,0.33,0.33,0.41,0.38,0.38,0.33,0.18,0.19,0.25,0.26,0.24,0.23,0.24,0.29,0.34,0.36,0.49,0.42,0.37,0.35
"2018/01/13","竹山","NOx",19,14,12,12,11,12,18,17,19,17,6.8,5.8,8.4,9.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/13","竹山","O3",8,7.5,7.5,6.1,5.9,4.8,3.4,8.3,13,23,36,48,56,61,64,67,61,38,31,23,9.2,13,11,13
"2018/01/13","竹山","PM10",49,45,43,40,38,33,33,34,38,36,29,30,44,54,51,53,53,53,55,50,52,55,46,45
"2018/01/13","竹山","SO2",1.2,1.8,1.8,1.8,1.9,1.8,2,2,2.8,2.1,1.6,1.5,2,1.9,1.9,1.9,1.9,1.5,1.1,1.2,1.2,1.4,0.9,0.9
"2018/01/14","竹山","CO",0.29,0.27,0.26,0.26,0.26,0.31,0.44,0.53,0.38,0.21,0.21,0.2,0.23,0.25,0.23,0.3,0.28,0.27,0.47,0.44,0.5,0.43,0.3,0.3
"2018/01/14","竹山","NOx",NA,9.2,8.5,7.6,8.2,9.4,20,21,15,7,7,6.2,5.9,6.8,7.4,9.2,11,13,25,26,25,21,14,12
"2018/01/14","竹山","O3",15,15,16,16,17,15,8.2,12,22,36,49,58,63,72,72,70,61,40,24,20,12,8.8,10,10
"2018/01/14","竹山","PM10",46,39,35,38,41,37,39,42,41,33,30,33,36,40,41,48,52,55,59,53,47,43,36,32
"2018/01/14","竹山","SO2",1.5,0.9,1,1.1,0.8,1,1,1.1,1.4,0.9,0.9,0.7,1,1.1,1,1.9,1.9,1.2,1.2,1,0.7,0.4,0.3,0.3
"2018/01/15","竹山","CO",0.29,0.26,0.24,0.21,0.23,0.27,0.42,0.6,0.52,0.26,0.22,0.2,0.25,0.29,0.28,0.27,0.26,0.26,0.39,0.48,0.57,0.49,0.39,0.39
"2018/01/15","竹山","NOx",11,8,6.4,5,6,8.5,21,27,19,9.4,7.6,4.7,7.2,10,10,12,16,18,24,29,30,24,17,15
"2018/01/15","竹山","O3",9,8.4,12,16,11,12,5.6,9.1,23,33,41,52,65,76,80,72,55,38,22,12,12,5.4,9.5,8.1
"2018/01/15","竹山","PM10",30,31,31,29,25,25,33,40,36,30,28,27,35,50,58,66,72,73,69,67,63,56,55,53
"2018/01/15","竹山","SO2",1.1,0.7,0.6,0.4,0.6,0.7,0.8,1.3,1.3,0.9,0.8,0.8,1.5,1.8,2.3,2.9,2.6,1.7,1.2,1.3,1.3,0.6,0.4,0.6
"2018/01/16","竹山","CO",0.34,0.32,0.3,0.27,0.3,0.33,0.42,0.73,0.51,0.33,0.28,NA,0.33,0.33,0.27,0.31,0.5,0.83,0.86,0.65,0.7,0.5,0.39,0.36
"2018/01/16","竹山","NOx",13,9.3,8.5,7.5,9.8,11,18,32,16,13,13,10,NA,11,9.4,12,26,42,40,32,30,22,16,16
"2018/01/16","竹山","O3",9,8.5,11,11,9.6,9.9,7.3,5.4,22,27,30,48,62,67,63,59,45,15,11,13,11,16,20,15
"2018/01/16","竹山","PM10",48,45,44,40,32,32,36,40,37,29,29,38,52,55,41,41,76,91,67,62,60,46,39,33
"2018/01/16","竹山","SO2",0.3,1.2,1.2,1.4,1.3,1.2,1,1.2,1.4,1.4,1.1,1.7,NA,1.9,1.6,2.1,4.7,2.8,1.4,1.4,1.1,0.9,1.5,1
"2018/01/17","竹山","CO",0.36,0.3,0.26,0.23,0.21,0.23,0.37,0.57,0.45,0.29,0.22,0.26,0.41,0.36,0.32,0.45,0.5,0.44,0.49,0.51,0.61,0.68,0.53,0.57
"2018/01/17","竹山","NOx",14,14,12,9.3,7.9,9.3,18,27,30,21,13,12,23,21,16,26,34,31,29,28,34,35,29,29
"2018/01/17","竹山","O3",16,12,13,15,16,12,4.9,3.5,4.8,14,23,37,43,54,61,47,29,28,32,29,18,5.9,3.1,1.4
"2018/01/17","竹山","PM10",31,31,32,33,31,29,27,33,46,40,27,26,46,62,58,75,105,117,123,136,146,141,112,95
"2018/01/17","竹山","SO2",1.9,1.1,1.2,0.8,1,0.9,1.3,2.1,2.4,1.5,1.3,2.1,3,2.8,2.6,5,5.3,4.1,3.5,2.4,2.7,1.8,1.4,1.3
"2018/01/18","竹山","CO",0.58,0.42,0.38,0.34,0.32,0.31,0.3,0.47,0.53,0.48,0.37,0.38,0.43,0.43,0.44,0.44,0.39,0.42,0.43,0.41,0.42,0.45,0.47,0.42
"2018/01/18","竹山","NOx",28,19,17,15,15,15,16,24,35,37,22,20,25,NA,18,21,23,24,26,25,24,23,23,22
"2018/01/18","竹山","O3",4.3,4.9,3.6,3.4,2.9,3.4,4,3.5,3.2,6.3,17,24,32,43,67,72,52,37,27,18,16,15,11,7.8
"2018/01/18","竹山","PM10",108,96,69,58,53,47,39,33,43,65,64,58,72,NA,99,113,117,101,96,96,97,97,90,84
"2018/01/18","竹山","SO2",2.1,2.5,1.9,1.7,1.7,1.9,1.7,1.6,2.4,3.4,3.2,3,4.9,NA,NA,3.1,2.8,2.2,4.4,4.6,3.2,4.5,1.5,0.9
